id_m,id_s
n1,s1-1
n2,s2-1
n4,s7-1
n3,s4-1
n5,s8-1
n6,s9-1
n7,s10-1
n9,s11-1
n8,s6-1
n10,s12-1
n11,s17-1
n12,s13-1
n13,s18-1
n14,s19-1
n15,s20-1
n17,s21-1
n16,s15-1
n18,s22-1
n19,s16-1
n21,s26-1
n20,s23-1
n22,s27-1
n23,s28-1
n24,s29-1
n25,s30-1
n26,s25-1
n27,s31-1
n29,s36-1
n28,s32-1
n30,s37-1
n31,s38-1
n32,s39-1
n34,s40-1
n33,s34-1
n35,s35-1
n38,s46-1
n37,s47-1
n36,s41-1
n39,s42-1
n40,s43-1
n41,s44-1
n42,s45-1
n44,s54-1
n45,s55-1
n43,s49-1
n46,s50-1
n47,s51-1
n48,s52-1
n49,s53-1
n52,s60-1
n51,s61-1
n50,s57-1
n54,s62-1
n56,s63-1
n55,s58-1
n59,s64-1
n58,s65-1
n57,s59-1
n60,s78-1
n62,s79-1
n61,s66-1
n63,s67-1
n64,s68-1
n65,s69-1
n66,s70-1
n67,s71-1
n68,s72-1
n69,s73-1
n71,s81-1
n70,s82-1
n72,s74-1
n73,s75-1
n74,s76-1
n75,s77-1
n76,s83-1
n77,s84-1
n78,s85-1
n79,s86-1
n82,s97-1
n81,s95-1
n80,s87-1
n83,s88-1
n84,s89-1
n85,s90-1
n86,s96-1
n87,s91-1
n88,s92-1
n89,s93-1
n90,s94-1
n92,s105-1
n91,s102-1
n93,s98-1
n95,s103-1
n96,s100-1
n97,s101-1
n98,s113-1
n100,s114-1
n99,s107-1
n101,s108-1
n102,s109-1
n103,s110-1
n104,s111-1
n107,s122-1
n106,s123-1
n105,s116-1
n108,s117-1
n109,s118-1
n110,s119-1
n111,s120-1
n114,s128-1
n112,s129-1
n113,s125-1
n116,s130-1
n117,s131-1
n115,s126-1
n120,s132-1
n119,s133-1
n118,s127-1
n123,s147-1
n122,s148-1
n121,s134-1
n124,s135-1
n125,s136-1
n126,s137-1
n127,s138-1
n128,s139-1
n129,s140-1
n130,s141-1
n132,s150-1
n131,s151-1
n133,s142-1
n134,s143-1
n135,s144-1
n136,s145-1
n137,s152-1
n138,s153-1
n139,s154-1
n140,s155-1
n143,s166-1
n142,s164-1
n141,s156-1
n144,s157-1
n145,s158-1
n146,s159-1
n147,s165-1
n148,s160-1
n149,s161-1
n150,s162-1
n151,s163-1
n153,s182-1
n154,s175-1
n152,s167-1
n156,s176-1
n157,s177-1
n155,s169-1
n158,s170-1
n161,s178-1
n160,s179-1
n159,s171-1
n162,s172-1
n164,s180-1
n163,s181-1
n165,s173-1
n166,s174-1
n168,s191-1
n167,s192-1
n169,s183-1
n171,s194-1
n172,s195-1
n170,s185-1
n173,s186-1
n174,s196-1
n175,s197-1
n176,s187-1
n177,s188-1
n179,s198-1
n178,s199-1
n180,s189-1
n181,s190-1
n182,s208-1
n183,s209-1
n184,s200-1
n185,s211-1
n186,s212-1
n187,s202-1
n188,s203-1
n190,s213-1
n189,s214-1
n191,s204-1
n192,s205-1
n194,s215-1
n193,s216-1
n195,s206-1
n196,s207-1
n198,s229-1
n197,s230-1
n199,s217-1
n200,s218-1
n202,s231-1
n201,s232-1
n203,s219-1
n204,s220-1
n207,s233-1
n206,s234-1
n205,s221-1
n208,s222-1
n211,s235-1
n210,s236-1
n209,s223-1
n212,s224-1
n215,s237-1
n214,s238-1
n213,s225-1
n216,s226-1
n218,s239-1
n217,s240-1
n219,s227-1
n220,s228-1
n221,s253-1
n222,s254-1
n223,s241-1
n224,s242-1
n225,s255-1
n226,s256-1
n227,s243-1
n228,s244-1
n231,s257-1
n229,s258-1
n230,s245-1
n232,s246-1
n235,s259-1
n233,s260-1
n234,s247-1
n236,s248-1
n238,s261-1
n237,s262-1
n239,s249-1
n240,s250-1
n242,s263-1
n241,s264-1
n243,s251-1
n244,s252-1
n246,s277-1
n245,s278-1
n247,s265-1
n248,s266-1
n251,s279-1
n249,s280-1
n250,s267-1
n252,s268-1
n254,s281-1
n253,s282-1
n255,s269-1
n257,s270-1
n260,s283-1
n258,s284-1
n259,s271-1
n261,s272-1
n263,s285-1
n262,s286-1
n264,s273-1
n265,s274-1
n267,s287-1
n266,s288-1
n268,s275-1
n269,s276-1
n271,s292-1
n270,s293-1
n272,s289-1
n275,s294-1
n274,s295-1
n273,s290-1
n278,s301-1
n280,s302-1
n279,s298-1
n281,s303-1
n283,s304-1
n282,s299-1
n284,s305-1
n286,s306-1
n285,s300-1
n287,s311-1
n289,s312-1
n288,s308-1
n290,s313-1
n292,s314-1
n291,s309-1
n293,s315-1
n295,s316-1
n294,s310-1
n297,s323-1
n296,s317-1
n298,s318-1
n299,s324-1
n301,s325-1
n300,s319-1
n302,s320-1
n303,s326-1
n305,s327-1
n304,s321-1
n306,s322-1
n307,s328-1
n309,s333-1
n308,s329-1
n310,s334-1
n311,s330-1
n313,s335-1
n312,s331-1
n314,s336-1
n315,s337-1
n316,s338-1
n317,s348-1
n318,s349-1
n320,s350-1
n319,s340-1
n322,s351-1
n321,s341-1
n323,s352-1
n324,s342-1
n325,s353-1
n326,s354-1
n327,s343-1
n328,s355-1
n329,s344-1
n331,s356-1
n330,s345-1
n332,s357-1
n334,s358-1
n333,s346-1
n336,s359-1
n335,s347-1
n337,s369-1
n338,s360-1
n339,s370-1
n340,s371-1
n341,s361-1
n343,s372-1
n342,s362-1
n344,s373-1
n345,s363-1
n346,s374-1
n347,s375-1
n348,s364-1
n349,s376-1
n350,s365-1
n351,s377-1
n352,s366-1
n353,s378-1
n355,s379-1
n354,s367-1
n357,s380-1
n356,s368-1
n359,s393-1
n358,s381-1
n361,s394-1
n360,s382-1
n363,s395-1
n362,s383-1
n365,s396-1
n364,s384-1
n367,s397-1
n366,s385-1
n369,s398-1
n368,s386-1
n371,s399-1
n370,s387-1
n373,s400-1
n372,s388-1
n375,s401-1
n374,s389-1
n377,s402-1
n376,s390-1
n379,s403-1
n378,s391-1
n381,s404-1
n380,s392-1
n382,s411-1
n383,s405-1
n384,s412-1
n385,s406-1
n387,s413-1
n386,s407-1
n389,s414-1
n388,s408-1
n391,s415-1
n390,s409-1
n392,s416-1
n393,s417-1
n394,s418-1
n395,s419-1
n396,s420-1
n397,s421-1
n398,s422-1
n399,s431-1
n400,s424-1
n401,s425-1
n402,s426-1
n405,s433-1
n404,s429-1
n403,s427-1
n408,s434-1
n407,s430-1
n406,s428-1
n409,s443-1
n410,s436-1
n411,s437-1
n412,s438-1
n414,s445-1
n415,s439-1
n413,s441-1
n417,s446-1
n418,s440-1
n416,s442-1
n419,s455-1
n420,s448-1
n421,s449-1
n422,s450-1
n425,s457-1
n424,s451-1
n423,s453-1
n427,s458-1
n428,s452-1
n426,s454-1
n431,s471-1
n430,s459-1
n429,s465-1
n433,s472-1
n434,s460-1
n432,s466-1
n435,s473-1
n436,s461-1
n437,s467-1
n438,s474-1
n440,s462-1
n439,s468-1
n443,s475-1
n441,s463-1
n442,s469-1
n444,s476-1
n445,s464-1
n446,s470-1
n448,s489-1
n447,s477-1
n450,s478-1
n451,s479-1
n452,s480-1
n453,s481-1
n454,s482-1
n455,s483-1
n456,s484-1
n460,s491-1
n457,s492-1
n458,s493-1
n459,s485-1
n461,s486-1
n462,s487-1
n463,s488-1
n466,s506-1
n465,s507-1
n464,s508-1
n467,s494-1
n468,s495-1
n469,s496-1
n470,s497-1
n471,s498-1
n472,s499-1
n473,s500-1
n474,s501-1
n476,s510-1
n477,s511-1
n475,s512-1
n478,s502-1
n479,s503-1
n481,s504-1
n482,s505-1
n485,s532-1
n483,s533-1
n484,s534-1
n486,s513-1
n487,s514-1
n488,s515-1
n489,s516-1
n490,s535-1
n491,s528-1
n492,s529-1
n494,s519-1
n495,s520-1
n496,s521-1
n499,s530-1
n497,s531-1
n500,s524-1
n501,s525-1
n502,s526-1
n504,s546-1
n503,s544-1
n505,s537-1
n506,s538-1
n507,s539-1
n509,s547-1
n508,s540-1
n510,s542-1
n513,s548-1
n512,s541-1
n511,s543-1
n516,s564-1
n514,s549-1
n515,s555-1
n519,s565-1
n517,s550-1
n518,s556-1
n521,s566-1
n522,s551-1
n520,s557-1
n523,s567-1
n525,s552-1
n524,s558-1
n526,s568-1
n527,s553-1
n528,s559-1
n529,s569-1
n530,s554-1
n531,s560-1
n533,s585-1
n532,s570-1
n534,s571-1
n535,s572-1
n536,s573-1
n537,s574-1
n538,s575-1
n540,s586-1
n541,s587-1
n542,s588-1
n539,s576-1
n543,s577-1
n547,s589-1
n544,s590-1
n546,s591-1
n545,s578-1
n548,s579-1
n549,s592-1
n551,s593-1
n550,s594-1
n552,s580-1
n553,s581-1
n555,s608-1
n556,s609-1
n554,s610-1
n557,s595-1
n558,s596-1
n559,s597-1
n560,s598-1
n561,s599-1
n562,s600-1
n566,s611-1
n565,s612-1
n564,s613-1
n563,s601-1
n567,s602-1
n568,s614-1
n569,s615-1
n570,s616-1
n571,s603-1
n572,s604-1
n575,s617-1
n574,s618-1
n573,s619-1
n576,s605-1
n577,s606-1
n581,s637-1
n578,s638-1
n579,s639-1
n580,s620-1
n582,s621-1
n583,s622-1
n584,s623-1
n585,s640-1
n586,s633-1
n587,s634-1
n590,s626-1
n591,s627-1
n594,s635-1
n592,s636-1
n596,s630-1
n597,s631-1
n600,s656-1
n599,s649-1
n598,s641-1
n601,s642-1
n602,s643-1
n603,s644-1
n604,s645-1
n606,s650-1
n605,s646-1
n608,s651-1
n607,s647-1
n610,s652-1
n609,s648-1
n612,s653-1
n614,s654-1
n616,s655-1
n618,s665-1
n619,s657-1
n620,s658-1
n621,s659-1
n623,s660-1
n624,s661-1
n625,s667-1
n626,s662-1
n627,s668-1
n628,s663-1
n629,s669-1
n630,s664-1
n631,s670-1
n634,s671-1
n636,s672-1
n639,s679-1
n638,s676-1
n640,s673-1
n642,s680-1
n641,s677-1
n643,s674-1
n645,s681-1
n644,s678-1
n646,s675-1
n648,s689-1
n647,s686-1
n649,s683-1
n651,s690-1
n650,s687-1
n652,s684-1
n653,s691-1
n654,s688-1
n655,s685-1
n658,s701-1
n656,s697-1
n657,s692-1
n659,s693-1
n660,s702-1
n662,s698-1
n661,s694-1
n664,s703-1
n665,s699-1
n663,s695-1
n666,s700-1
n667,s696-1
n668,s716-1
n669,s713-1
n670,s704-1
n671,s705-1
n672,s706-1
n673,s717-1
n674,s714-1
n675,s707-1
n676,s708-1
n677,s709-1
n678,s718-1
n679,s715-1
n680,s710-1
n681,s711-1
n682,s712-1
n684,s731-1
n683,s728-1
n685,s719-1
n686,s720-1
n687,s721-1
n688,s732-1
n689,s729-1
n690,s722-1
n691,s723-1
n692,s724-1
n693,s733-1
n694,s730-1
n695,s725-1
n696,s726-1
n697,s727-1
n699,s746-1
n698,s734-1
n700,s735-1
n701,s736-1
n702,s737-1
n703,s747-1
n704,s738-1
n705,s739-1
n706,s740-1
n707,s741-1
n709,s748-1
n710,s742-1
n711,s743-1
n712,s744-1
n713,s745-1
n714,s760-1
n715,s749-1
n716,s761-1
n717,s762-1
n718,s763-1
n719,s764-1
n720,s765-1
n721,s766-1
n723,s751-1
n724,s752-1
n722,s753-1
n725,s767-1
n726,s768-1
n730,s754-1
n729,s755-1
n728,s756-1
n727,s769-1
n733,s770-1
n732,s757-1
n734,s758-1
n731,s759-1
n735,s771-1
n736,s785-1
n738,s772-1
n737,s773-1
n739,s774-1
n740,s786-1
n741,s787-1
n742,s788-1
n743,s789-1
n744,s790-1
n745,s791-1
n746,s776-1
n747,s777-1
n748,s778-1
n749,s792-1
n750,s793-1
n751,s779-1
n753,s780-1
n752,s781-1
n754,s794-1
n755,s795-1
n758,s782-1
n757,s783-1
n756,s784-1
n759,s796-1
n762,s801-1
n763,s797-1
n760,s798-1
n761,s799-1
n764,s1-2
n765,s2-2
n767,s7-2
n766,s4-2
n768,s8-2
n769,s9-2
n770,s10-2
n772,s11-2
n771,s6-2
n773,s12-2
n774,s17-2
n775,s13-2
n776,s18-2
n777,s19-2
n778,s20-2
n780,s21-2
n779,s15-2
n781,s22-2
n782,s16-2
n784,s26-2
n783,s23-2
n785,s27-2
n786,s28-2
n787,s29-2
n788,s30-2
n789,s25-2
n790,s31-2
n792,s36-2
n791,s32-2
n793,s37-2
n794,s38-2
n795,s39-2
n797,s40-2
n796,s34-2
n798,s35-2
n801,s46-2
n800,s47-2
n799,s41-2
n802,s42-2
n803,s43-2
n804,s44-2
n805,s45-2
n807,s54-2
n808,s55-2
n806,s49-2
n809,s50-2
n810,s51-2
n811,s52-2
n812,s53-2
n815,s60-2
n814,s61-2
n813,s57-2
n817,s62-2
n819,s63-2
n818,s58-2
n822,s64-2
n821,s65-2
n820,s59-2
n823,s78-2
n825,s79-2
n824,s66-2
n826,s67-2
n827,s68-2
n828,s69-2
n829,s70-2
n830,s71-2
n831,s72-2
n832,s73-2
n834,s81-2
n833,s82-2
n835,s74-2
n836,s75-2
n837,s76-2
n838,s77-2
n839,s83-2
n840,s84-2
n841,s85-2
n842,s86-2
n845,s97-2
n844,s95-2
n843,s87-2
n846,s88-2
n847,s89-2
n848,s90-2
n849,s96-2
n850,s91-2
n851,s92-2
n852,s93-2
n853,s94-2
n855,s105-2
n854,s102-2
n856,s98-2
n858,s103-2
n859,s100-2
n860,s101-2
n861,s113-2
n863,s114-2
n862,s107-2
n864,s108-2
n865,s109-2
n866,s110-2
n867,s111-2
n870,s122-2
n869,s123-2
n868,s116-2
n871,s117-2
n872,s118-2
n873,s119-2
n874,s120-2
n877,s128-2
n875,s129-2
n876,s125-2
n879,s130-2
n880,s131-2
