id_m,id_s
n2,s3-1
n1,s1-1
n3,s4-1
n5,s5-1
n4,s2-1
n6,s6-1
n8,s13-1
n7,s7-1
n9,s8-1
n11,s14-1
n10,s9-1
n12,s10-1
n14,s15-1
n13,s11-1
n15,s16-1
n16,s12-1
n18,s23-1
n17,s17-1
n19,s18-1
n21,s24-1
n20,s19-1
n22,s20-1
n24,s25-1
n23,s21-1
n25,s26-1
n26,s22-1
n29,s36-1
n27,s35-1
n28,s27-1
n30,s28-1
n32,s37-1
n31,s29-1
n33,s30-1
n35,s38-1
n34,s31-1
n36,s32-1
n38,s39-1
n37,s33-1
n39,s34-1
n41,s44-1
n40,s40-1
n42,s45-1
n43,s41-1
n45,s46-1
n44,s42-1
n48,s48-1
n47,s47-1
n46,s43-1
n50,s59-1
n49,s49-1
n51,s55-1
n52,s56-1
n53,s57-1
n54,s51-1
n55,s52-1
n56,s53-1
n58,s64-1
n57,s62-1
n59,s65-1
n61,s66-1
n60,s63-1
n62,s67-1
n64,s74-1
n63,s68-1
n65,s69-1
n67,s75-1
n66,s70-1
n68,s71-1
n70,s76-1
n69,s72-1
n71,s77-1
n72,s73-1
n74,s84-1
n73,s78-1
n75,s79-1
n77,s85-1
n76,s80-1
n78,s81-1
n80,s86-1
n79,s82-1
n81,s87-1
n82,s83-1
n84,s98-1
n85,s96-1
n83,s88-1
n86,s89-1
n88,s99-1
n87,s90-1
n89,s91-1
n90,s100-1
n91,s92-1
n92,s93-1
n93,s101-1
n94,s94-1
n95,s95-1
n97,s110-1
n96,s102-1
n98,s107-1
n99,s103-1
n102,s111-1
n100,s108-1
n101,s104-1
n104,s109-1
n105,s105-1
n103,s106-1
n107,s117-1
n108,s112-1
n106,s113-1
n109,s118-1
n112,s119-1
n111,s114-1
n110,s115-1
n114,s123-1
n113,s121-1
n115,s124-1
n117,s125-1
n116,s122-1
n118,s126-1
n120,s132-1
n119,s127-1
n121,s128-1
n122,s133-1
n123,s129-1
n124,s130-1
n126,s134-1
n125,s131-1
n127,s135-1
n129,s142-1
n128,s136-1
n130,s143-1
n131,s137-1
n132,s144-1
n133,s138-1
n134,s139-1
n135,s145-1
n136,s141-1
n138,s154-1
n137,s146-1
n139,s147-1
n140,s155-1
n141,s149-1
n143,s156-1
n142,s150-1
n144,s151-1
n145,s157-1
n146,s153-1
n148,s168-1
n147,s169-1
n149,s158-1
n150,s159-1
n151,s160-1
n152,s161-1
n153,s162-1
n154,s163-1
n155,s164-1
n156,s165-1
n157,s166-1
n158,s167-1
n161,s178-1
n160,s179-1
n159,s171-1
n162,s172-1
n163,s173-1
n165,s181-1
n164,s174-1
n166,s175-1
n167,s176-1
n168,s177-1
n170,s185-1
n169,s183-1
n171,s186-1
n173,s187-1
n172,s184-1
n174,s188-1
n176,s201-1
n177,s197-1
n175,s189-1
n178,s190-1
n179,s191-1
n181,s198-1
n180,s192-1
n182,s193-1
n183,s194-1
n186,s202-1
n184,s199-1
n185,s195-1
n187,s200-1
n189,s211-1
n188,s203-1
n190,s204-1
n191,s212-1
n192,s206-1
n194,s213-1
n193,s207-1
n195,s208-1
n196,s214-1
n197,s210-1
n200,s229-1
n199,s225-1
n198,s215-1
n201,s216-1
n202,s217-1
n203,s218-1
n204,s226-1
n205,s219-1
n206,s220-1
n207,s221-1
n208,s222-1
n211,s230-1
n210,s227-1
n209,s223-1
n212,s228-1
n213,s231-1
n214,s232-1
n216,s236-1
n217,s237-1
n215,s233-1
n219,s238-1
n218,s239-1
n220,s240-1
n222,s241-1
n221,s234-1
n223,s242-1
n224,s243-1
n228,s247-1
n226,s248-1
n227,s249-1
n225,s244-1
n229,s250-1
n231,s251-1
n230,s252-1
n234,s253-1
n233,s254-1
n232,s245-1
n238,s265-1
n236,s266-1
n237,s267-1
n235,s256-1
n239,s257-1
n240,s258-1
n241,s259-1
n242,s260-1
n243,s261-1
n244,s262-1
n246,s268-1
n247,s270-1
n245,s263-1
n250,s271-1
n249,s272-1
n248,s264-1
n253,s278-1
n252,s277-1
n251,s273-1
n254,s279-1
n255,s274-1
n258,s280-1
n257,s275-1
n256,s276-1
n259,s281-1
n260,s282-1
n261,s283-1
n262,s284-1
n263,s285-1
n266,s290-1
n267,s291-1
n265,s292-1
n264,s286-1
n268,s293-1
n270,s294-1
n269,s295-1
n271,s296-1
n272,s297-1
n273,s287-1
n274,s288-1
n275,s298-1
n276,s299-1
n277,s300-1
n278,s301-1
n282,s309-1
n281,s310-1
n280,s311-1
n279,s302-1
n284,s312-1
n283,s313-1
n285,s314-1
n286,s303-1
n289,s315-1
n287,s316-1
n288,s304-1
n290,s305-1
n291,s306-1
n292,s307-1
n293,s317-1
n294,s318-1
n298,s326-1
n296,s327-1
n297,s328-1
n300,s321-1
n301,s322-1
n305,s333-1
n303,s329-1
n304,s330-1
n302,s323-1
n307,s331-1
n308,s332-1
n306,s324-1
n309,s325-1
n312,s347-1
n311,s346-1
n310,s334-1
n313,s348-1
n314,s336-1
n315,s337-1
n317,s349-1
n316,s338-1
n318,s339-1
n319,s340-1
n320,s341-1
n321,s350-1
n322,s342-1
n323,s343-1
n324,s344-1
n325,s345-1
n328,s358-1
n327,s357-1
n326,s351-1
n329,s352-1
n331,s359-1
n330,s353-1
n332,s360-1
n333,s354-1
n334,s361-1
n335,s355-1
n336,s356-1
n338,s376-1
n339,s375-1
n337,s362-1
n340,s363-1
n341,s377-1
n342,s365-1
n343,s366-1
n345,s378-1
n344,s367-1
n346,s368-1
n347,s369-1
n348,s370-1
n349,s379-1
n350,s371-1
n351,s372-1
n352,s373-1
n353,s374-1
n355,s387-1
n356,s386-1
n354,s380-1
n357,s381-1
n359,s388-1
n358,s382-1
n360,s389-1
n361,s383-1
n362,s390-1
n363,s384-1
n364,s385-1
n366,s404-1
n367,s405-1
n365,s391-1
n368,s392-1
n369,s406-1
n370,s394-1
n371,s395-1
n372,s396-1
n373,s397-1
n374,s398-1
n375,s399-1
n376,s400-1
n377,s401-1
n378,s402-1
n379,s403-1
n380,s408-1
n381,s409-1
n382,s422-1
n383,s423-1
n384,s411-1
n385,s412-1
n386,s413-1
n387,s414-1
n388,s415-1
n389,s416-1
n390,s417-1
n391,s418-1
n392,s419-1
n393,s420-1
n394,s425-1
n395,s426-1
n398,s439-1
n396,s440-1
n397,s441-1
n399,s428-1
n400,s429-1
n401,s430-1
n402,s431-1
n403,s432-1
n404,s433-1
n405,s434-1
n406,s435-1
n407,s436-1
n408,s437-1
n409,s443-1
n410,s444-1
n411,s445-1
n412,s446-1
n413,s447-1
n414,s448-1
n415,s449-1
n416,s450-1
n419,s462-1
n420,s463-1
n421,s464-1
n418,s465-1
n417,s452-1
n422,s453-1
n423,s454-1
n424,s455-1
n425,s456-1
n426,s457-1
n427,s458-1
n428,s459-1
n429,s460-1
n430,s461-1
n432,s472-1
n431,s466-1
n433,s473-1
n434,s467-1
n435,s468-1
n436,s469-1
n437,s470-1
n438,s474-1
n439,s471-1
n440,s475-1
n442,s482-1
n441,s476-1
n443,s477-1
n445,s483-1
n444,s478-1
n446,s479-1
n448,s484-1
n447,s480-1
n449,s485-1
n450,s481-1
n452,s493-1
n451,s486-1
n453,s487-1
n455,s494-1
n454,s488-1
n456,s489-1
n458,s495-1
n457,s490-1
n459,s491-1
n460,s496-1
n461,s492-1
n464,s506-1
n463,s505-1
n462,s497-1
n465,s498-1
n467,s507-1
n466,s499-1
n468,s500-1
n470,s508-1
n469,s501-1
n471,s502-1
n472,s509-1
n473,s503-1
n474,s504-1
n475,s520-1
n476,s510-1
n477,s511-1
n478,s512-1
n479,s513-1
n481,s521-1
n480,s514-1
n482,s515-1
n484,s522-1
n483,s516-1
n485,s517-1
n488,s524-1
n487,s523-1
n486,s518-1
n489,s519-1
n491,s537-1
n490,s525-1
n492,s534-1
n493,s535-1
n494,s536-1
n495,s527-1
n496,s528-1
n497,s529-1
n498,s530-1
n499,s531-1
n500,s532-1
n502,s546-1
n503,s540-1
n501,s539-1
n504,s547-1
n505,s541-1
n506,s542-1
n507,s543-1
n508,s544-1
n510,s548-1
n509,s545-1
n511,s549-1
n513,s556-1
n512,s550-1
n514,s551-1
n516,s557-1
n515,s552-1
n517,s553-1
n519,s558-1
n518,s554-1
n521,s559-1
n522,s555-1
n524,s570-1
n523,s560-1
n525,s561-1
n526,s562-1
n527,s563-1
n529,s571-1
n528,s564-1
n530,s565-1
n531,s566-1
n532,s567-1
n534,s572-1
n533,s568-1
n536,s573-1
n537,s569-1
n540,s584-1
n539,s582-1
n538,s574-1
n541,s575-1
n543,s585-1
n542,s576-1
n544,s577-1
n546,s586-1
n545,s578-1
n547,s579-1
n548,s587-1
n549,s580-1
n550,s581-1
n552,s600-1
n551,s588-1
n553,s589-1
n554,s590-1
n555,s591-1
n556,s597-1
n557,s592-1
n558,s593-1
n561,s601-1
n560,s598-1
n559,s594-1
n563,s599-1
n564,s595-1
n562,s596-1
n567,s607-1
n566,s602-1
n565,s603-1
n568,s608-1
n571,s609-1
n570,s604-1
n569,s605-1
n576,s633-1
n579,s625-1
n577,s626-1
n578,s634-1
n572,s611-1
n573,s612-1
n574,s613-1
n575,s614-1
n580,s615-1
n581,s616-1
n582,s617-1
n583,s618-1
n587,s627-1
n585,s628-1
n586,s619-1
n584,s620-1
n591,s629-1
n589,s630-1
n588,s621-1
n590,s622-1
n594,s631-1
n595,s632-1
n593,s623-1
n592,s624-1
n597,s645-1
n599,s646-1
n596,s635-1
n598,s636-1
n602,s648-1
n603,s649-1
n601,s638-1
n600,s639-1
n606,s651-1
n605,s652-1
n607,s641-1
n604,s642-1
n615,s678-1
n613,s669-1
n614,s670-1
n612,s679-1
n608,s655-1
n609,s656-1
n610,s657-1
n611,s658-1
n616,s659-1
n617,s660-1
n618,s661-1
n619,s662-1
n623,s672-1
n621,s673-1
n622,s663-1
n620,s664-1
n626,s674-1
n625,s675-1
n624,s665-1
n627,s666-1
n630,s676-1
n631,s677-1
n628,s667-1
n629,s668-1
n634,s689-1
n633,s690-1
n632,s680-1
n638,s692-1
n636,s693-1
n637,s682-1
n635,s683-1
n642,s695-1
n639,s696-1
n641,s685-1
n640,s686-1
n643,s705-1
n644,s699-1
n645,s700-1
n647,s706-1
n646,s701-1
n648,s702-1
n650,s707-1
n649,s703-1
n651,s708-1
n652,s704-1
n654,s716-1
n653,s709-1
n655,s710-1
n657,s717-1
n656,s711-1
n658,s712-1
n660,s718-1
n659,s713-1
n661,s714-1
n662,s719-1
n663,s715-1
n666,s730-1
n665,s728-1
n664,s720-1
n667,s721-1
n669,s731-1
n668,s722-1
n670,s723-1
n671,s732-1
n672,s724-1
n673,s725-1
n675,s733-1
n676,s729-1
n674,s726-1
n677,s727-1
n680,s742-1
n678,s743-1
n679,s734-1
n681,s735-1
n682,s736-1
n683,s737-1
n684,s738-1
n685,s739-1
n686,s740-1
n694,s769-1
n695,s760-1
n692,s761-1
n688,s746-1
n689,s747-1
n690,s748-1
n691,s749-1
n696,s750-1
n697,s751-1
n698,s752-1
n699,s753-1
n703,s763-1
n701,s764-1
n702,s754-1
n700,s755-1
n706,s765-1
n704,s766-1
n705,s756-1
n707,s757-1
n710,s767-1
n711,s768-1
n708,s758-1
n709,s759-1
n714,s781-1
n715,s782-1
n712,s771-1
n713,s772-1
n718,s784-1
n719,s785-1
n717,s774-1
n716,s775-1
n721,s787-1
n723,s788-1
n722,s777-1
n720,s778-1
n729,s814-1
n728,s805-1
n730,s806-1
n731,s815-1
n724,s791-1
n725,s792-1
n726,s793-1
n727,s794-1
n732,s795-1
n733,s796-1
n734,s797-1
n735,s798-1
n739,s808-1
n737,s809-1
n738,s799-1
n736,s800-1
n743,s810-1
n742,s811-1
n741,s801-1
n740,s802-1
n745,s812-1
n746,s813-1
n744,s803-1
n747,s804-1
n750,s825-1
n748,s826-1
n749,s816-1
n754,s828-1
n753,s829-1
n752,s818-1
n751,s819-1
n757,s831-1
n758,s832-1
n755,s821-1
n756,s822-1
n760,s845-1
n759,s835-1
n761,s836-1
n762,s837-1
n763,s838-1
n764,s839-1
n765,s846-1
n766,s840-1
n767,s841-1
n769,s847-1
n768,s842-1
n770,s843-1
n771,s848-1
n772,s844-1
n774,s860-1
n773,s849-1
n775,s850-1
n776,s851-1
