id_m,id_s
n223,s119-1
n225,s120-1
n357,s119-2
n359,s120-2
n1282,s767-1
n1294,s771-1
n1319,s798-1
n1332,s820-1
n1337,s822-1
n1346,s825-1
n1351,s827-1
n1360,s844-1
n1367,s846-1
n1375,s849-1
n1501,s767-2
n1513,s771-2
n1538,s798-2
n1551,s820-2
n1556,s822-2
n1565,s825-2
n1570,s827-2
n1579,s844-2
n1586,s846-2
n1594,s849-2
n1815,s1077-1
n1819,s1079-1
n1828,s1082-1
n1834,s1084-1
n1842,s1101-1
n1850,s1103-1
n1857,s1106-1
n2079,s1077-2
n2083,s1079-2
n2092,s1082-2
n2098,s1084-2
n2106,s1101-2
n2114,s1103-2
n2121,s1106-2
n2661,s1414-1
n2663,s1415-1
n2664,s1416-1
n2907,s1414-2
n2909,s1415-2
n2910,s1416-2
n4273,s2377-1
n4272,s2376-1
n4274,s2378-1
n4271,s2375-1
n4534,s2410-1
n4533,s2409-1
n4535,s2411-1
n4532,s2408-1
n4546,s2416-1
n4552,s2422-1
n4551,s2421-1
n4553,s2423-1
n4550,s2420-1
n4558,s2428-1
n4557,s2427-1
n4559,s2429-1
n4556,s2426-1
n4710,s2581-1
n4708,s2580-1
n4711,s2582-1
n4706,s2579-1
n4751,s2624-1
n4750,s2623-1
n4748,s2622-1
n4820,s2704-1
n4819,s2703-1
n4821,s2705-1
n4818,s2702-1
n4837,s2723-1
n4838,s2724-1
n5076,s2581-2
n5074,s2580-2
n5077,s2582-2
n5072,s2579-2
n5117,s2624-2
n5116,s2623-2
n5114,s2622-2
n5186,s2704-2
n5185,s2703-2
n5187,s2705-2
n5184,s2702-2
n5203,s2723-2
n5204,s2724-2
n7764389,s2849-1
n7764388,s2839-1
n7764392,s2841-1
n7764390,s2840-1
n7764393,s2842-1
n7764395,s2851-1
n7764394,s2843-1
n7764397,s2852-1
n7764396,s2844-1
n7764399,s2853-1
n7764398,s2845-1
n7764401,s2854-1
n7764400,s2846-1
n7764403,s2855-1
n7764402,s2847-1
n7764405,s2856-1
n7764404,s2848-1
n7764407,s2867-1
n7764406,s2857-1
n7764409,s2868-1
n7764410,s2859-1
n7764408,s2858-1
n7764411,s2860-1
n7764413,s2869-1
n7764412,s2861-1
n7764416,s2870-1
n7764414,s2862-1
n7764418,s2871-1
n7764417,s2863-1
n7764420,s2872-1
n7764419,s2864-1
n7764421,s2873-1
n7764422,s2865-1
n7764423,s2874-1
n7764424,s2866-1
n7764426,s2883-1
n7764425,s2875-1
n7764427,s2884-1
n7764428,s2876-1
n7764429,s2885-1
n7764431,s2886-1
n7764430,s2878-1
n7764432,s2887-1
n7764433,s2888-1
n7764434,s2880-1
n7764435,s2889-1
n7764437,s2890-1
n7764436,s2882-1
n7764439,s2900-1
n7764440,s2892-1
n7764438,s2891-1
n7764441,s2901-1
n7764442,s2893-1
n7764444,s2902-1
n7764445,s2895-1
n7764443,s2894-1
n7764447,s2903-1
n7764446,s2896-1
n7764450,s2904-1
n7764448,s2897-1
n7764452,s2905-1
n7764451,s2898-1
n7764453,s2924-1
n7764456,s2908-1
n7764458,s2909-1
n7764459,s2910-1
n7764460,s2911-1
n7764461,s2912-1
n7764462,s2913-1
n7764463,s2914-1
n7764465,s2915-1
n7764464,s2929-1
n7764466,s2930-1
n7764467,s2931-1
n7764469,s2932-1
n7764468,s2916-1
n7764470,s2917-1
n7764471,s2918-1
n7764472,s2919-1
n7764473,s2920-1
n7764474,s2921-1
n7764475,s2922-1
n7764477,s2923-1
n7764457,s2927-1
n7764454,s2925-1
n7764455,s2926-1
n7764476,s2950-1
n7764478,s2951-1
n7764479,s2952-1
n7764481,s2953-1
n7764480,s2934-1
n7764476a,s2935-1
n7764482,s2936-1
n7764483,s2937-1
n7764484,s2938-1
n7764485,s2939-1
n7764486,s2940-1
n7764488,s2941-1
n7764487,s2955-1
n7764489,s2956-1
n7764490,s2957-1
n7764491,s2958-1
n7764492,s2942-1
n7764493,s2943-1
n7764494,s2944-1
n7764495,s2945-1
n7764496,s2946-1
n7764497,s2947-1
n7764498,s2948-1
n7764499,s2949-1
n7764500,s2976-1
n7764501,s2960-1
n7764502,s2961-1
n7764503,s2977-1
n7764504,s2962-1
n7764505,s2963-1
n7764507,s2978-1
n7764506,s2964-1
n7764508,s2965-1
n7764509,s2979-1
n7764510,s2966-1
n7764511,s2967-1
n7764512,s2980-1
n7764513,s2968-1
n7764514,s2969-1
n7764516,s2981-1
n7764515,s2970-1
n7764517,s2971-1
n7764519,s2982-1
n7764518,s2972-1
n7764520,s2973-1
n7764522,s2983-1
n7764521,s2974-1
n7764523,s2975-1
n7764524,s2997-1
n7764525,s2984-1
n7764526,s2985-1
n7764527,s2998-1
n7764528,s2986-1
n7764529,s2987-1
n7764531,s2999-1
n7764530,s2988-1
n7764532,s2989-1
n7764533,s3000-1
n7764534,s2990-1
n7764535,s2991-1
n7764537,s3001-1
n7764538,s2992-1
n7764539,s2993-1
n7764540,s2994-1
n7764541,s2995-1
n7764544,s3002-1
n7764542,s3003-1
n7764545,s3004-1
n7764543,s2996-1
n7764547,s2849-2
n7764546,s2839-2
n7764550,s2841-2
n7764548,s2840-2
n7764551,s2842-2
n7764553,s2851-2
n7764552,s2843-2
n7764555,s2852-2
n7764554,s2844-2
n7764557,s2853-2
n7764556,s2845-2
n7764559,s2854-2
n7764558,s2846-2
n7764561,s2855-2
n7764560,s2847-2
n7764563,s2856-2
n7764562,s2848-2
n7764565,s2867-2
n7764564,s2857-2
n7764567,s2868-2
n7764568,s2859-2
n7764566,s2858-2
n7764569,s2860-2
n7764571,s2869-2
n7764570,s2861-2
n7764574,s2870-2
n7764572,s2862-2
n7764576,s2871-2
n7764575,s2863-2
n7764578,s2872-2
n7764577,s2864-2
n7764579,s2873-2
n7764580,s2865-2
n7764581,s2874-2
n7764582,s2866-2
n7764584,s2883-2
n7764583,s2875-2
n7764585,s2884-2
