id_m,id_s
n1,s3-1
n2,s1-1
n3,s4-1
n4,s5-1
n5,s6-1
n7,s7-1
n6,s2-1
n8,s8-1
n10,s11-1
n9,s9-1
n11,s12-1
n12,s13-1
n13,s14-1
n15,s15-1
n14,s10-1
n16,s16-1
n18,s19-1
n17,s17-1
n19,s20-1
n20,s21-1
n21,s22-1
n23,s23-1
n22,s18-1
n24,s24-1
n26,s29-1
n25,s25-1
n28,s30-1
n27,s26-1
n30,s31-1
n29,s27-1
n31,s32-1
n32,s33-1
n33,s34-1
n36,s38-1
n35,s39-1
n34,s35-1
n37,s36-1
n38,s37-1
n39,s42-1
n40,s43-1
n41,s44-1
n43,s48-1
n42,s47-1
n44,s49-1
n45,s50-1
n47,s56-1
n49,s57-1
n48,s53-1
n52,s54-1
n53,s55-1
n54,s58-1
n57,s63-1
n55,s62-1
n56,s59-1
n59,s64-1
n58,s60-1
n61,s65-1
n60,s61-1
n63,s73-1
n62,s66-1
n64,s67-1
n65,s68-1
n66,s69-1
n68,s75-1
n67,s70-1
n69,s71-1
n71,s80-1
n70,s76-1
n72,s77-1
n75,s82-1
n74,s78-1
n73,s79-1
n78,s88-1
n77,s83-1
n76,s84-1
n80,s90-1
n81,s91-1
n79,s86-1
n84,s92-1
n85,s93-1
n83,s87-1
n88,s98-1
n87,s99-1
n86,s94-1
n91,s100-1
n90,s101-1
n89,s95-1
n93,s102-1
n94,s103-1
n92,s96-1
n96,s104-1
n95,s105-1
n97,s97-1
n100,s109-1
n99,s110-1
n98,s106-1
n103,s111-1
n102,s112-1
n101,s107-1
n105,s113-1
n106,s114-1
n104,s108-1
n109,s121-1
n108,s122-1
n110,s115-1
n107,s116-1
n113,s123-1
n114,s124-1
n112,s117-1
n111,s118-1
n118,s125-1
n117,s126-1
n116,s119-1
n115,s120-1
n120,s135-1
n122,s136-1
n121,s127-1
n119,s128-1
n125,s137-1
n126,s138-1
n123,s129-1
n124,s130-1
n127,s139-1
n128,s140-1
n129,s131-1
n130,s132-1
n132,s133-1
n133,s141-1
n134,s142-1
n135,s134-1
n137,s149-1
n136,s150-1
n138,s143-1
n140,s151-1
n141,s152-1
n139,s144-1
n143,s153-1
n144,s154-1
n142,s145-1
n145,s146-1
n146,s147-1
n147,s155-1
n149,s156-1
n150,s148-1
n153,s160-1
n151,s161-1
n152,s157-1
n156,s162-1
n155,s163-1
n154,s158-1
n159,s164-1
n158,s165-1
n157,s159-1
n161,s170-1
n162,s171-1
n160,s166-1
n163,s167-1
n167,s173-1
n166,s174-1
n165,s168-1
n164,s169-1
n170,s179-1
n169,s175-1
n168,s176-1
n174,s181-1
n173,s182-1
n171,s183-1
n172,s178-1
n177,s187-1
n176,s188-1
n175,s184-1
n180,s190-1
n181,s191-1
n178,s192-1
n179,s186-1
n184,s196-1
n183,s197-1
n182,s193-1
n187,s199-1
n186,s200-1
n185,s195-1
n190,s207-1
n189,s208-1
n188,s201-1
n191,s209-1
n192,s210-1
n194,s211-1
n193,s202-1
n195,s203-1
n197,s212-1
n196,s204-1
n198,s213-1
n199,s205-1
n200,s206-1
n202,s221-1
n201,s214-1
n204,s222-1
n205,s215-1
n206,s216-1
n207,s223-1
n208,s217-1
n209,s224-1
n210,s218-1
n211,s225-1
n212,s219-1
n214,s226-1
n213,s220-1
n218,s237-1
n219,s238-1
n215,s227-1
n216,s228-1
n217,s229-1
n220,s230-1
n223,s239-1
n224,s240-1
n222,s241-1
n221,s242-1
n225,s231-1
n226,s232-1
n227,s233-1
n228,s234-1
n229,s235-1
n230,s236-1
n231,s251-1
n232,s252-1
n233,s244-1
n235,s253-1
n236,s254-1
n237,s255-1
n234,s256-1
