id_m,id_s
n3,s4-1
n2,s5-1
n1,s1-1
n6,s6-1
n5,s7-1
n4,s2-1
n7,s3-1
n9,s14-1
n10,s15-1
n8,s8-1
n12,s16-1
n11,s9-1
n14,s17-1
n13,s10-1
n16,s18-1
n15,s11-1
n17,s19-1
n18,s12-1
n20,s20-1
n19,s13-1
n23,s24-1
n22,s25-1
n21,s21-1
n25,s26-1
n26,s27-1
n24,s22-1
n27,s23-1
n29,s34-1
n30,s35-1
n28,s28-1
n32,s36-1
n31,s29-1
n33,s37-1
n34,s30-1
n36,s38-1
n35,s31-1
n38,s39-1
n37,s32-1
n40,s40-1
n39,s33-1
n41,s41-1
n44,s49-1
n43,s50-1
n42,s51-1
n45,s42-1
n46,s43-1
n47,s44-1
n48,s45-1
n52,s52-1
n51,s53-1
n50,s54-1
n49,s46-1
n53,s47-1
n54,s55-1
n57,s63-1
n56,s64-1
n55,s65-1
n58,s56-1
n59,s57-1
n60,s58-1
n61,s59-1
n65,s66-1
n64,s67-1
n63,s68-1
n62,s60-1
n66,s61-1
n67,s69-1
n68,s77-1
n69,s78-1
n72,s79-1
n73,s80-1
n71,s70-1
n70,s71-1
n75,s81-1
n77,s82-1
n76,s72-1
n74,s73-1
n81,s83-1
n79,s84-1
n80,s74-1
n78,s75-1
n85,s96-1
n84,s97-1
n83,s91-1
n82,s85-1
n86,s86-1
n87,s98-1
n89,s92-1
n88,s87-1
n91,s93-1
n90,s88-1
n94,s99-1
n93,s94-1
n92,s89-1
n96,s100-1
n97,s95-1
n95,s90-1
n98,s101-1
n99,s111-1
n100,s108-1
n101,s103-1
n102,s104-1
n105,s112-1
n104,s109-1
n103,s105-1
n106,s106-1
n107,s110-1
n108,s107-1
n110,s125-1
n111,s119-1
n109,s113-1
n113,s120-1
n112,s114-1
n115,s121-1
n114,s115-1
n117,s122-1
n116,s116-1
n119,s123-1
n118,s117-1
n121,s124-1
n120,s118-1
n122,s126-1
n124,s134-1
n123,s135-1
n125,s128-1
n126,s129-1
n128,s136-1
n129,s137-1
n127,s130-1
n130,s131-1
n132,s132-1
n134,s139-1
n133,s138-1
n136,s146-1
n135,s140-1
n138,s147-1
n137,s141-1
n140,s148-1
n139,s142-1
n142,s149-1
n141,s143-1
n144,s150-1
n143,s144-1
n145,s151-1
n146,s160-1
n147,s161-1
n148,s153-1
n149,s154-1
n150,s155-1
n153,s162-1
n152,s163-1
n154,s157-1
n151,s156-1
n155,s158-1
n156,s164-1
n158,s173-1
n157,s174-1
n159,s166-1
n160,s167-1
n161,s168-1
n163,s175-1
n164,s176-1
n165,s170-1
n162,s169-1
n166,s171-1
n169,s189-1
n167,s190-1
n168,s177-1
n170,s178-1
n171,s179-1
n172,s180-1
n175,s192-1
n174,s191-1
n173,s181-1
n176,s182-1
n177,s183-1
n178,s184-1
n180,s193-1
n179,s185-1
n181,s186-1
n182,s187-1
n183,s188-1
n185,s206-1
n184,s194-1
n186,s195-1
n188,s204-1
n187,s196-1
n189,s197-1
n192,s207-1
n193,s198-1
n191,s202-1
n190,s199-1
n194,s208-1
n197,s209-1
n196,s200-1
n195,s201-1
n199,s214-1
n198,s210-1
n200,s215-1
n201,s216-1
n202,s217-1
n203,s218-1
n204,s219-1
n206,s220-1
n207,s211-1
n209,s221-1
n212,s222-1
n211,s212-1
n213,s223-1
n215,s224-1
n216,s213-1
n218,s225-1
n221,s233-1
n220,s226-1
n222,s234-1
n224,s235-1
n225,s227-1
n227,s236-1
n230,s237-1
n229,s228-1
n231,s238-1
n233,s239-1
n234,s230-1
n232,s229-1
n235,s240-1
n236,s241-1
n237,s231-1
n238,s242-1
n241,s244-1
n243,s249-1
n242,s245-1
n244,s250-1
n245,s251-1
n246,s252-1
n247,s253-1
n248,s254-1
n250,s255-1
n251,s246-1
n254,s256-1
n257,s257-1
n256,s247-1
n258,s258-1
n260,s259-1
n261,s248-1
n266,s268-1
n265,s261-1
n267,s269-1
n269,s270-1
n270,s262-1
n273,s271-1
n275,s272-1
n274,s263-1
n276,s273-1
n278,s274-1
n279,s265-1
n277,s264-1
n280,s275-1
n281,s276-1
n282,s266-1
n283,s277-1
n285,s278-1
n284,s267-1
n286,s279-1
n287,s280-1
n288,s281-1
n290,s290-1
n291,s291-1
n289,s282-1
n293,s292-1
n292,s293-1
n294,s283-1
n295,s284-1
n296,s285-1
n297,s286-1
n298,s287-1
n299,s288-1
n300,s295-1
n301,s296-1
n305,s305-1
n304,s306-1
n303,s307-1
n302,s297-1
n308,s308-1
n307,s309-1
n306,s310-1
n309,s298-1
n310,s299-1
n311,s300-1
n312,s301-1
n313,s302-1
n314,s303-1
n315,s312-1
n316,s313-1
n318,s318-1
n317,s319-1
n319,s314-1
n321,s320-1
n322,s321-1
n320,s315-1
n323,s316-1
n324,s322-1
n325,s323-1
n327,s328-1
n326,s329-1
n328,s324-1
n330,s330-1
n329,s325-1
n331,s326-1
n333,s343-1
n332,s331-1
n335,s344-1
n334,s332-1
n337,s345-1
n336,s333-1
n339,s346-1
n338,s334-1
n341,s347-1
n340,s335-1
n343,s348-1
n342,s336-1
n345,s349-1
n344,s337-1
n347,s350-1
n346,s338-1
n349,s351-1
n348,s339-1
n351,s352-1
n350,s340-1
n353,s353-1
n352,s341-1
n355,s354-1
n354,s342-1
n357,s367-1
n356,s355-1
n359,s368-1
n358,s356-1
n361,s369-1
n360,s357-1
n363,s370-1
n362,s358-1
n365,s371-1
n364,s359-1
n367,s372-1
n366,s360-1
n369,s373-1
n368,s361-1
n371,s374-1
n370,s362-1
n373,s375-1
n372,s363-1
n375,s376-1
n374,s364-1
n377,s377-1
n376,s365-1
n379,s378-1
n378,s366-1
n381,s391-1
n380,s379-1
n383,s392-1
n382,s380-1
n384,s393-1
n385,s381-1
n387,s394-1
n386,s382-1
n389,s395-1
n388,s383-1
n391,s396-1
n390,s384-1
n393,s397-1
n392,s385-1
n395,s398-1
n394,s386-1
n397,s399-1
n396,s387-1
n399,s400-1
n398,s388-1
n401,s401-1
n400,s389-1
n402,s402-1
n403,s390-1
n405,s415-1
n404,s403-1
n407,s416-1
n406,s404-1
n409,s417-1
n408,s405-1
n411,s418-1
n410,s406-1
n413,s419-1
n412,s407-1
n415,s420-1
n414,s408-1
n417,s421-1
n416,s409-1
n419,s422-1
n418,s410-1
n421,s423-1
n420,s411-1
n422,s424-1
n423,s412-1
n425,s425-1
n424,s413-1
n427,s426-1
n426,s414-1
n428,s439-1
n429,s427-1
n430,s428-1
n431,s429-1
n432,s430-1
n434,s440-1
n433,s431-1
n435,s432-1
n436,s433-1
n437,s434-1
n438,s435-1
n439,s436-1
n440,s437-1
n441,s438-1
n442,s442-1
n443,s443-1
n445,s452-1
n446,s453-1
n447,s448-1
n444,s444-1
n448,s445-1
n451,s454-1
n450,s449-1
n449,s446-1
n452,s455-1
n455,s456-1
n454,s450-1
n453,s447-1
n457,s458-1
n456,s457-1
n458,s464-1
n459,s465-1
n462,s466-1
n461,s467-1
n460,s459-1
n463,s460-1
n464,s461-1
n465,s462-1
n466,s479-1
n468,s480-1
n467,s468-1
n472,s481-1
n470,s482-1
n471,s469-1
n469,s470-1
n476,s483-1
n475,s484-1
n474,s471-1
n473,s472-1
n480,s485-1
n478,s486-1
n479,s473-1
n477,s474-1
n483,s487-1
n484,s488-1
n482,s475-1
n481,s476-1
n488,s489-1
n487,s490-1
n486,s477-1
n485,s478-1
n490,s492-1
n489,s491-1
n492,s498-1
n491,s499-1
n495,s500-1
n494,s501-1
n493,s493-1
n496,s494-1
n497,s495-1
n498,s496-1
n500,s513-1
n499,s514-1
n501,s502-1
n503,s515-1
n505,s516-1
n504,s503-1
n502,s504-1
n509,s517-1
n507,s518-1
n508,s505-1
n506,s506-1
n513,s519-1
n512,s520-1
n511,s507-1
n510,s508-1
n515,s521-1
n516,s522-1
n517,s509-1
n514,s510-1
n520,s523-1
n521,s524-1
n519,s511-1
n518,s512-1
n522,s525-1
n525,s528-1
n523,s526-1
n524,s527-1
n534,s533-1
n533,s534-1
n548,s535-1
n547,s536-1
n549,s530-1
n546,s529-1
n550,s537-1
n551,s538-1
n553,s540-1
n552,s539-1
n562,s545-1
n561,s546-1
n574,s547-1
n573,s548-1
n576,s542-1
n572,s541-1
n577,s549-1
n578,s550-1
n582,s553-1
n585,s563-1
n584,s554-1
n583,s555-1
n587,s564-1
n588,s556-1
n586,s557-1
n591,s565-1
n589,s558-1
n590,s559-1
n594,s578-1
n592,s566-1
n593,s567-1
n595,s579-1
n598,s580-1
n604,s572-1
n603,s573-1
n606,s574-1
n605,s575-1
n607,s576-1
n608,s577-1
n609,s581-1
n611,s593-1
n610,s590-1
n612,s583-1
n613,s584-1
n614,s585-1
n617,s594-1
n616,s591-1
n615,s586-1
n618,s587-1
n619,s592-1
n620,s588-1
n621,s589-1
n623,s607-1
n624,s601-1
n622,s595-1
n626,s602-1
n625,s596-1
n628,s603-1
n627,s597-1
n630,s604-1
n629,s598-1
n631,s605-1
n632,s599-1
n634,s606-1
n633,s600-1
n635,s608-1
n637,s618-1
n636,s619-1
n638,s610-1
n639,s611-1
n640,s612-1
n643,s620-1
n642,s621-1
n641,s613-1
n644,s614-1
n645,s615-1
n646,s616-1
n649,s628-1
n648,s629-1
n647,s622-1
n651,s630-1
n650,s623-1
n653,s631-1
n652,s624-1
n654,s632-1
n655,s625-1
n656,s633-1
n657,s626-1
n659,s634-1
n658,s627-1
n660,s635-1
n663,s646-1
n662,s647-1
n661,s648-1
n664,s637-1
n665,s638-1
n666,s639-1
n667,s640-1
n668,s641-1
n672,s649-1
n669,s650-1
n671,s651-1
n670,s642-1
n673,s644-1
n674,s652-1
n676,s663-1
n677,s664-1
n675,s665-1
n678,s654-1
n679,s655-1
n680,s656-1
n681,s657-1
n682,s658-1
n684,s666-1
n686,s667-1
n685,s668-1
n683,s659-1
n687,s661-1
n688,s669-1
n689,s670-1
n691,s679-1
n692,s680-1
n690,s681-1
n693,s671-1
