id_m,id_s
n2,s12-1
n1,s1-1
n3,s13-1
n4,s14-1
n5,s15-1
n7,s16-1
n6,s2-1
n8,s17-1
n10,s18-1
n9,s3-1
n11,s19-1
n14,s20-1
n13,s9-1
n12,s4-1
n15,s21-1
n16,s22-1
n17,s23-1
n18,s5-1
n19,s24-1
n21,s10-1
n20,s6-1
n22,s25-1
n23,s26-1
n24,s27-1
n26,s52-1
n27,s41-1
n25,s28-1
n28,s42-1
n29,s43-1
n30,s44-1
n33,s53-1
n32,s45-1
n31,s29-1
n34,s46-1
n35,s47-1
n36,s48-1
n38,s54-1
n39,s49-1
n37,s30-1
n44,s31-1
n45,s32-1
n46,s33-1
n47,s34-1
n48,s35-1
n49,s36-1
n51,s37-1
n50,s38-1
n53,s39-1
n52,s40-1
n55,s56-1
n54,s57-1
n57,s58-1
n56,s59-1
n60,s82-1
n59,s60-1
n58,s61-1
n62,s83-1
n63,s62-1
n61,s63-1
n66,s84-1
n65,s64-1
n64,s65-1
n69,s85-1
n68,s66-1
n67,s67-1
n72,s86-1
n71,s68-1
n70,s69-1
n75,s87-1
n74,s70-1
n73,s71-1
n78,s88-1
n76,s78-1
n77,s72-1
n79,s89-1
n80,s90-1
n81,s91-1
n84,s92-1
n83,s79-1
n82,s73-1
n85,s74-1
n86,s75-1
n87,s76-1
n89,s113-1
n88,s94-1
n90,s114-1
n91,s115-1
n92,s96-1
n94,s116-1
n93,s97-1
n95,s98-1
n97,s117-1
n96,s99-1
n99,s118-1
n98,s100-1
n101,s119-1
n100,s101-1
n103,s120-1
n102,s102-1
n106,s121-1
n105,s110-1
n104,s103-1
n107,s122-1
n112,s123-1
n113,s124-1
n114,s104-1
n117,s125-1
n116,s111-1
n115,s105-1
n118,s126-1
n119,s127-1
n120,s106-1
n122,s128-1
n121,s107-1
n123,s108-1
n125,s152-1
n124,s129-1
n126,s142-1
n127,s143-1
n128,s144-1
n131,s153-1
n130,s145-1
n129,s130-1
n132,s146-1
n133,s147-1
n134,s148-1
n135,s154-1
n137,s149-1
n136,s131-1
n142,s132-1
n143,s133-1
n144,s134-1
n145,s135-1
n146,s136-1
n147,s137-1
n148,s138-1
n149,s139-1
n150,s140-1
n151,s141-1
n152,s156-1
n155,s176-1
n154,s177-1
n156,s158-1
n157,s159-1
n158,s160-1
n159,s161-1
n160,s162-1
n162,s180-1
n161,s181-1
n163,s164-1
n164,s165-1
n165,s166-1
n166,s167-1
n169,s183-1
n168,s184-1
n167,s168-1
n171,s185-1
n170,s169-1
n172,s171-1
n173,s172-1
n174,s173-1
n175,s174-1
n176,s189-1
n178,s212-1
n177,s204-1
n179,s191-1
n180,s192-1
n181,s193-1
n185,s205-1
n184,s200-1
n182,s194-1
n186,s206-1
n187,s201-1
n188,s195-1
n189,s196-1
n190,s207-1
n192,s208-1
n191,s197-1
n194,s209-1
n195,s210-1
n193,s198-1
n197,s245-1
n198,s237-1
n196,s215-1
n199,s238-1
n200,s239-1
n201,s240-1
n203,s241-1
n202,s216-1
n204,s242-1
n205,s243-1
n206,s244-1
n210,s246-1
n209,s247-1
n208,s217-1
n207,s218-1
n212,s221-1
n211,s222-1
n214,s223-1
n213,s224-1
n216,s225-1
n215,s226-1
n218,s227-1
n217,s228-1
n220,s229-1
n219,s230-1
n221,s231-1
n222,s232-1
n224,s233-1
n223,s234-1
n225,s235-1
n226,s236-1
n229,s279-1
n227,s252-1
n228,s253-1
n230,s280-1
n231,s281-1
n232,s282-1
n234,s255-1
n233,s256-1
n235,s257-1
n236,s258-1
n238,s259-1
n237,s260-1
n239,s261-1
n240,s262-1
n243,s283-1
n242,s263-1
n241,s264-1
n244,s284-1
n245,s285-1
n246,s286-1
n247,s266-1
n248,s267-1
n249,s268-1
n250,s269-1
n252,s293-1
n251,s270-1
n253,s287-1
n257,s288-1
n260,s289-1
n259,s271-1
n261,s272-1
n263,s291-1
n262,s273-1
n265,s275-1
n266,s276-1
n267,s277-1
n268,s278-1
n270,s308-1
n269,s295-1
n271,s309-1
n273,s310-1
n272,s296-1
n274,s311-1
n275,s312-1
n276,s313-1
n277,s314-1
n278,s298-1
n279,s315-1
n280,s299-1
n281,s300-1
n283,s316-1
n282,s301-1
n285,s317-1
n284,s302-1
n287,s318-1
n286,s303-1
n288,s319-1
n289,s320-1
n290,s321-1
n291,s322-1
n292,s305-1
n294,s323-1
n293,s306-1
n295,s307-1
n297,s341-1
n296,s324-1
n299,s342-1
n298,s325-1
n301,s343-1
n300,s326-1
n302,s344-1
n303,s345-1
n305,s346-1
n304,s328-1
n307,s347-1
n306,s329-1
n309,s348-1
n308,s330-1
n311,s349-1
n310,s331-1
n312,s350-1
n313,s351-1
n314,s332-1
n315,s352-1
n316,s353-1
n317,s334-1
n319,s354-1
n318,s335-1
n320,s336-1
n322,s355-1
n321,s337-1
n323,s338-1
n325,s356-1
n324,s339-1
n326,s340-1
n328,s375-1
n327,s357-1
n329,s358-1
n331,s376-1
n330,s359-1
n332,s360-1
n334,s377-1
n333,s361-1
n335,s378-1
n336,s379-1
n337,s363-1
n339,s380-1
n338,s364-1
n340,s365-1
n342,s381-1
n341,s366-1
n343,s367-1
n345,s382-1
n344,s368-1
n346,s369-1
n348,s383-1
n347,s370-1
n350,s384-1
n349,s371-1
n351,s385-1
n356,s386-1
n355,s372-1
n357,s387-1
n362,s388-1
n359,s373-1
n363,s389-1
n367,s390-1
n367a,undefined
n368,s374-1
n369,s413-1
n375,s414-1
n374,s392-1
n376,s393-1
n378,s415-1
n377,s394-1
n379,s416-1
n380,s417-1
n381,s396-1
n382,s418-1
n383,s397-1
n384,s398-1
n386,s419-1
n385,s399-1
n387,s400-1
n388,s420-1
n389,s401-1
n390,s402-1
n391,s421-1
n392,s403-1
n393,s422-1
n394,s423-1
n395,s424-1
n396,s425-1
n397,s426-1
n398,s427-1
n399,s428-1
n402,s429-1
n401,s430-1
n400,s405-1
n403,s406-1
n404,s407-1
n405,s408-1
n406,s409-1
n407,s410-1
n408,s411-1
n409,s412-1
n411,s454-1
n410,s432-1
n412,s455-1
n413,s456-1
n414,s457-1
n416,s458-1
n415,s433-1
n417,s459-1
n418,s460-1
n419,s461-1
n421,s462-1
n422,s463-1
n420,s435-1
n423,s436-1
n424,s437-1
n425,s438-1
n426,s439-1
n427,s440-1
n428,s441-1
n429,s442-1
n431,s465-1
n430,s443-1
n432,s466-1
n433,s467-1
n434,s468-1
n436,s469-1
n435,s444-1
n437,s470-1
n438,s471-1
n439,s472-1
n441,s446-1
n443,s447-1
n444,s448-1
n445,s449-1
n446,s450-1
n447,s451-1
n448,s452-1
n449,s453-1
n452,s503-1
n451,s504-1
n450,s475-1
n453,s476-1
n455,s477-1
n454,s478-1
n456,s479-1
n457,s480-1
n458,s481-1
n460,s482-1
n459,s483-1
n461,s484-1
n463,s485-1
n462,s486-1
n467,s507-1
n465,s508-1
n464,s509-1
n466,s487-1
n468,s488-1
n469,s489-1
n470,s490-1
n473,s510-1
n471,s511-1
n472,s491-1
n475,s513-1
n477,s514-1
n474,s515-1
n476,s493-1
n478,s494-1
n479,s495-1
n480,s496-1
n483,s516-1
n481,s517-1
n482,s497-1
n484,s519-1
n487,s520-1
n486,s521-1
n485,s499-1
n488,s500-1
n489,s501-1
n490,s502-1
n493,s544-1
n491,s545-1
n492,s522-1
n495,s547-1
n494,s548-1
n497,s526-1
n496,s527-1
n499,s549-1
n500,s550-1
n503,s551-1
n501,s552-1
n502,s532-1
n504,s533-1
n505,s534-1
n506,s535-1
n507,s536-1
n508,s537-1
n509,s538-1
n510,s539-1
n511,s540-1
n512,s541-1
n514,s575-1
n513,s555-1
n515,s576-1
n516,s577-1
n517,s557-1
n518,s558-1
n520,s578-1
n519,s559-1
n521,s560-1
n522,s561-1
n523,s562-1
n525,s579-1
n524,s563-1
n526,s580-1
n528,s581-1
n527,s564-1
n529,s582-1
n532,s583-1
n531,s572-1
n533,s584-1
n538,s585-1
n539,s586-1
n543,s587-1
n542,s573-1
n541,s567-1
n544,s588-1
n545,s589-1
n546,s568-1
n547,s590-1
n548,s569-1
n549,s570-1
n552,s615-1
n551,s604-1
n550,s591-1
n553,s605-1
n554,s606-1
n555,s607-1
n558,s616-1
n557,s608-1
n556,s592-1
n559,s609-1
n560,s610-1
n561,s611-1
n563,s617-1
n564,s612-1
n562,s593-1
n569,s594-1
n570,s595-1
n571,s596-1
n572,s597-1
n573,s598-1
n574,s599-1
n576,s600-1
n575,s601-1
n578,s602-1
n577,s603-1
n580,s619-1
n579,s620-1
