id_m,id_s
n1,s1-1
n2,s2-1
n3,s4-1
n4,s5-1
n5,s6-1
n9,s12-1
n8,s13-1
n6,s8-1
n7,s9-1
n13,s20-1
n12,s21-1
n10,s16-1
n11,s17-1
n17,s28-1
n16,s29-1
n14,s24-1
n15,s25-1
n19,s38-1
n18,s32-1
n20,s33-1
n21,s34-1
n22,s35-1
n23,s36-1
n24,s37-1
n26,s45-1
n25,s39-1
n27,s40-1
n28,s41-1
n29,s42-1
n30,s43-1
n31,s44-1
n33,s53-1
n32,s47-1
n34,s48-1
n36,s54-1
n35,s49-1
n37,s50-1
n39,s55-1
n38,s51-1
n40,s52-1
n42,s62-1
n41,s56-1
n43,s57-1
n44,s58-1
n45,s59-1
n46,s60-1
n47,s61-1
n48,s65-1
n49,s66-1
n50,s67-1
n54,s72-1
n53,s73-1
n51,s69-1
n52,s70-1
n58,s78-1
n57,s79-1
n55,s75-1
n56,s76-1
n62,s84-1
n61,s85-1
n59,s81-1
n60,s82-1
n65,s93-1
n64,s94-1
n63,s87-1
n66,s88-1
n67,s89-1
n68,s90-1
n69,s91-1
n70,s92-1
n73,s101-1
n72,s102-1
n71,s95-1
n74,s96-1
n75,s97-1
n76,s98-1
n77,s99-1
n78,s100-1
n79,s104-1
n82,s110-1
n81,s105-1
n80,s106-1
n85,s111-1
n84,s107-1
n83,s108-1
n88,s115-1
n87,s112-1
n86,s113-1
n89,s116-1
n90,s117-1
n93,s124-1
n92,s118-1
n91,s119-1
n96,s125-1
n95,s120-1
n94,s121-1
n99,s126-1
n98,s122-1
n97,s123-1
n102,s133-1
n101,s127-1
n100,s128-1
n105,s134-1
n104,s129-1
n103,s130-1
n108,s135-1
n107,s131-1
n106,s132-1
n111,s142-1
n110,s136-1
n109,s137-1
n114,s143-1
n113,s138-1
n112,s139-1
n117,s144-1
n116,s140-1
n115,s141-1
n120,s148-1
n119,s145-1
n118,s146-1
n121,s149-1
n122,s150-1
n125,s157-1
n124,s151-1
n123,s152-1
n128,s158-1
n127,s153-1
n126,s154-1
n131,s159-1
n130,s155-1
n129,s156-1
n134,s166-1
n133,s160-1
n132,s161-1
n137,s167-1
n136,s162-1
n135,s163-1
n140,s168-1
n139,s164-1
n138,s165-1
n143,s175-1
n142,s169-1
n141,s170-1
n146,s176-1
n145,s171-1
n144,s172-1
n149,s177-1
n148,s173-1
n147,s174-1
n152,s181-1
n151,s178-1
n150,s179-1
n153,s182-1
n154,s183-1
n155,s189-1
n156,s185-1
n157,s186-1
n158,s187-1
n159,s188-1
n160,s192-1
n161,s198-1
n162,s194-1
n163,s195-1
n164,s196-1
n165,s197-1
n166,s201-1
n167,s207-1
n168,s203-1
n169,s204-1
n170,s205-1
n171,s206-1
n172,s210-1
n173,s216-1
n174,s212-1
n175,s213-1
n176,s214-1
n177,s215-1
n178,s219-1
n179,s226-1
n180,s221-1
n181,s222-1
n182,s223-1
n183,s224-1
n184,s225-1
n185,s228-1
n186,s229-1
n187,s230-1
n188,s231-1
n189,s232-1
n190,s233-1
n191,s235-1
n194,s240-1
n193,s237-1
n192,s238-1
n197,s245-1
n196,s241-1
n195,s242-1
n198,s247-1
n199,s251-1
n202,s253-1
n201,s249-1
n200,s250-1
n205,s258-1
n204,s254-1
n203,s255-1
n206,s260-1
n207,s264-1
n210,s266-1
n209,s262-1
n208,s263-1
n213,s271-1
n212,s267-1
n211,s268-1
n214,s273-1
n215,s275-1
n217,s278-1
n218,s279-1
n219,s280-1
n220,s282-1
n221,s283-1
n222,s284-1
n223,s285-1
n224,s286-1
n225,s288-1
n226,s289-1
n227,s290-1
n228,s292-1
n229,s293-1
n230,s294-1
n231,s295-1
n232,s296-1
n234,s301-1
n233,s298-1
n235,s302-1
n236,s303-1
n237,s304-1
n239,s305-1
n238,s300-1
n240,s306-1
n242,s309-1
n243,s310-1
n244,s311-1
n245,s312-1
n247,s313-1
n246,s308-1
n248,s314-1
n250,s318-1
n249,s315-1
n251,s319-1
n252,s320-1
n253,s321-1
n255,s322-1
n254,s317-1
n256,s323-1
n258,s326-1
n259,s327-1
n260,s328-1
n261,s329-1
n263,s330-1
n262,s325-1
n264,s331-1
n266,s335-1
n265,s332-1
n267,s336-1
n268,s337-1
n269,s338-1
n271,s339-1
n270,s334-1
n272,s340-1
n275,s344-1
n274,s345-1
n273,s341-1
n276,s342-1
n279,s346-1
n278,s347-1
n277,s343-1
n282,s351-1
n281,s352-1
n280,s348-1
n283,s349-1
n285,s353-1
n284,s350-1
n287,s357-1
n286,s354-1
n288,s355-1
n289,s356-1
n291,s363-1
n290,s360-1
n293,s364-1
n292,s361-1
n295,s365-1
n294,s362-1
n297,s371-1
n299,s372-1
n301,s373-1
n296,s366-1
n298,s367-1
n300,s368-1
n303,s374-1
n302,s369-1
n305,s375-1
n304,s370-1
n307,s379-1
n306,s376-1
n309,s380-1
n308,s377-1
n311,s381-1
n310,s378-1
n313,s387-1
n315,s388-1
n317,s389-1
n312,s382-1
n314,s383-1
n316,s384-1
n319,s390-1
n318,s385-1
n321,s391-1
n320,s386-1
n323,s398-1
n322,s392-1
n324,s393-1
n325,s394-1
n326,s395-1
n327,s396-1
n328,s397-1
n331,s406-1
n330,s407-1
n329,s400-1
n332,s401-1
n333,s402-1
n334,s403-1
n335,s404-1
n336,s405-1
n339,s414-1
n338,s415-1
n337,s408-1
n340,s409-1
n341,s410-1
n342,s411-1
n343,s412-1
n344,s413-1
n347,s423-1
n346,s424-1
n345,s417-1
n348,s418-1
n349,s419-1
n350,s420-1
n351,s421-1
n352,s422-1
n355,s431-1
n354,s432-1
n353,s425-1
n356,s426-1
n357,s427-1
n358,s428-1
n359,s429-1
n360,s430-1
n363,s440-1
n362,s441-1
n361,s434-1
n364,s435-1
n365,s436-1
n366,s437-1
n369,s442-1
n368,s443-1
n367,s438-1
n370,s439-1
n373,s450-1
n372,s451-1
n371,s444-1
n374,s445-1
n375,s446-1
n376,s447-1
n379,s452-1
n378,s453-1
n377,s448-1
n380,s449-1
n382,s460-1
n381,s454-1
n383,s455-1
n385,s461-1
n384,s456-1
n386,s457-1
n388,s462-1
n387,s458-1
n389,s459-1
n390,s463-1
n392,s464-1
n393,s465-1
n394,s466-1
n395,s467-1
n396,s468-1
n399,s477-1
n398,s478-1
n397,s471-1
n400,s472-1
n401,s473-1
n402,s474-1
n405,s479-1
n404,s480-1
n403,s475-1
n406,s476-1
n409,s487-1
n408,s488-1
n407,s481-1
n410,s482-1
n411,s483-1
n412,s484-1
n415,s489-1
n414,s490-1
n413,s485-1
n416,s486-1
n418,s497-1
n417,s491-1
n419,s492-1
n421,s498-1
n420,s493-1
n422,s494-1
n424,s499-1
n423,s495-1
n425,s496-1
n426,s500-1
n428,s501-1
n429,s502-1
n430,s505-1
n432,s508-1
n431,s509-1
n434,s510-1
n433,s511-1
n436,s515-1
n435,s516-1
n437,s513-1
n438,s514-1
n439,s518-1
n441,s521-1
n440,s522-1
n443,s523-1
n442,s524-1
n445,s528-1
n444,s529-1
n446,s526-1
n447,s527-1
n448,s531-1
n450,s534-1
n449,s535-1
n452,s536-1
n451,s537-1
n454,s544-1
n453,s545-1
n455,s539-1
n456,s540-1
n457,s541-1
n458,s542-1
n459,s543-1
n461,s553-1
n460,s554-1
n462,s548-1
n463,s549-1
n464,s550-1
n465,s551-1
n466,s552-1
n468,s562-1
n467,s563-1
n469,s557-1
n470,s558-1
n471,s559-1
n472,s560-1
n473,s561-1
n475,s571-1
n474,s572-1
n476,s566-1
n477,s567-1
n478,s568-1
n479,s569-1
n480,s570-1
n482,s579-1
n481,s574-1
n483,s580-1
n486,s581-1
n485,s575-1
n484,s576-1
n487,s582-1
n490,s583-1
n489,s577-1
n488,s578-1
n491,s584-1
n494,s588-1
n493,s585-1
n492,s586-1
n498,s1-2
n499,s2-2
n500,s4-2
n501,s5-2
n502,s6-2
n506,s12-2
n505,s13-2
n503,s8-2
n504,s9-2
n510,s20-2
n509,s21-2
n507,s16-2
n508,s17-2
n514,s28-2
n513,s29-2
n511,s24-2
n512,s25-2
n516,s38-2
n515,s32-2
n517,s33-2
n518,s34-2
n519,s35-2
n520,s36-2
n521,s37-2
n523,s45-2
n522,s39-2
n524,s40-2
n525,s41-2
n526,s42-2
n527,s43-2
n528,s44-2
n530,s53-2
n529,s47-2
n531,s48-2
n533,s54-2
n532,s49-2
n534,s50-2
n536,s55-2
n535,s51-2
n537,s52-2
n539,s62-2
n538,s56-2
n540,s57-2
n541,s58-2
n542,s59-2
n543,s60-2
n544,s61-2
n545,s65-2
n546,s66-2
n547,s67-2
n551,s72-2
n550,s73-2
n548,s69-2
n549,s70-2
n555,s78-2
n554,s79-2
n552,s75-2
n553,s76-2
n559,s84-2
n558,s85-2
n556,s81-2
n557,s82-2
n562,s93-2
n561,s94-2
n560,s87-2
n563,s88-2
n564,s89-2
n565,s90-2
n566,s91-2
n567,s92-2
n570,s101-2
n569,s102-2
n568,s95-2
n571,s96-2
n572,s97-2
n573,s98-2
n574,s99-2
n575,s100-2
n576,s104-2
n579,s110-2
n578,s105-2
n577,s106-2
n582,s111-2
n581,s107-2
n580,s108-2
n585,s115-2
n584,s112-2
n583,s113-2
n586,s116-2
n587,s117-2
n590,s124-2
n589,s118-2
n588,s119-2
n593,s125-2
n592,s120-2
n591,s121-2
n596,s126-2
n595,s122-2
n594,s123-2
n599,s133-2
n598,s127-2
n597,s128-2
n602,s134-2
n601,s129-2
n600,s130-2
n605,s135-2
n604,s131-2
n603,s132-2
n608,s142-2
n607,s136-2
n606,s137-2
n611,s143-2
n610,s138-2
n609,s139-2
n614,s144-2
n613,s140-2
n612,s141-2
n617,s148-2
n616,s145-2
n615,s146-2
n618,s149-2
n619,s150-2
n622,s157-2
n621,s151-2
n620,s152-2
n625,s158-2
n624,s153-2
n623,s154-2
n628,s159-2
n627,s155-2
n626,s156-2
n631,s166-2
n630,s160-2
n629,s161-2
n634,s167-2
n633,s162-2
n632,s163-2
n637,s168-2
n636,s164-2
n635,s165-2
n640,s175-2
n639,s169-2
n638,s170-2
n643,s176-2
n642,s171-2
n641,s172-2
n646,s177-2
n645,s173-2
n644,s174-2
n649,s181-2
n648,s178-2
n647,s179-2
n650,s182-2
n651,s183-2
n652,s189-2
n653,s185-2
n654,s186-2
n655,s187-2
n656,s188-2
n657,s192-2
n658,s198-2
n659,s194-2
n660,s195-2
n661,s196-2
n662,s197-2
n663,s201-2
n664,s207-2
n665,s203-2
n666,s204-2
n667,s205-2
n668,s206-2
n669,s210-2
n670,s216-2
n671,s212-2
n672,s213-2
n673,s214-2
n674,s215-2
n675,s219-2
n676,s226-2
n677,s221-2
n678,s222-2
n679,s223-2
n680,s224-2
n681,s225-2
n682,s228-2
n683,s229-2
n684,s230-2
n685,s231-2
n686,s232-2
n687,s233-2
n688,s235-2
n691,s240-2
n690,s237-2
n689,s238-2
n694,s245-2
n693,s241-2
n692,s242-2
n695,s247-2
n696,s251-2
n699,s253-2
n698,s249-2
n697,s250-2
n702,s258-2
n701,s254-2
n700,s255-2
n703,s260-2
n704,s264-2
n707,s266-2
n706,s262-2
n705,s263-2
n710,s271-2
n709,s267-2
n708,s268-2
n711,s273-2
n712,s275-2
n714,s278-2
n715,s279-2
n716,s280-2
n717,s282-2
n718,s283-2
n719,s284-2
n720,s285-2
n721,s286-2
n722,s288-2
n723,s289-2
n724,s290-2
n725,s292-2
n726,s293-2
n727,s294-2
n728,s295-2
n729,s296-2
n731,s301-2
n730,s298-2
n732,s302-2
n733,s303-2
n734,s304-2
n736,s305-2
n735,s300-2
n737,s306-2
n739,s309-2
n740,s310-2
n741,s311-2
n742,s312-2
n744,s313-2
n743,s308-2
n745,s314-2
n747,s318-2
n746,s315-2
n748,s319-2
n749,s320-2
n750,s321-2
n752,s322-2
n751,s317-2
n753,s323-2
n755,s326-2
n756,s327-2
n757,s328-2
n758,s329-2
n760,s330-2
n759,s325-2
n761,s331-2
n763,s335-2
n762,s332-2
n764,s336-2
n765,s337-2
n766,s338-2
n768,s339-2
n767,s334-2
n769,s340-2
n772,s344-2
n771,s345-2
n770,s341-2
n773,s342-2
n776,s346-2
n775,s347-2
n774,s343-2
n779,s351-2
n778,s352-2
n777,s348-2
n780,s349-2
n782,s353-2
n781,s350-2
n784,s357-2
n783,s354-2
n785,s355-2
n786,s356-2
n788,s363-2
n787,s360-2
n790,s364-2
n789,s361-2
n792,s365-2
n791,s362-2
n794,s371-2
n796,s372-2
n798,s373-2
n793,s366-2
n795,s367-2
n797,s368-2
n800,s374-2
n799,s369-2
n802,s375-2
n801,s370-2
n804,s379-2
n803,s376-2
n806,s380-2
n805,s377-2
n808,s381-2
n807,s378-2
n810,s387-2
n812,s388-2
n814,s389-2
n809,s382-2
n811,s383-2
n813,s384-2
n816,s390-2
n815,s385-2
n818,s391-2
n817,s386-2
n820,s398-2
n819,s392-2
n821,s393-2
n822,s394-2
n823,s395-2
n824,s396-2
n825,s397-2
n828,s406-2
n827,s407-2
n826,s400-2
n829,s401-2
n830,s402-2
n831,s403-2
n832,s404-2
n833,s405-2
n836,s414-2
n835,s415-2
n834,s408-2
n837,s409-2
n838,s410-2
n839,s411-2
n840,s412-2
n841,s413-2
n844,s423-2
n843,s424-2
n842,s417-2
n845,s418-2
n846,s419-2
n847,s420-2
n848,s421-2
n849,s422-2
n852,s431-2
n851,s432-2
n850,s425-2
n853,s426-2
n854,s427-2
n855,s428-2
n856,s429-2
n857,s430-2
n860,s440-2
n859,s441-2
n858,s434-2
n861,s435-2
n862,s436-2
n863,s437-2
n866,s442-2
n865,s443-2
