id_m,id_s
n3,s13-1
n2,s8-1
n1,s1-1
n4,s2-1
n7,s14-1
n6,s9-1
n5,s3-1
n8,s15-1
n9,s10-1
n10,s5-1
n12,s16-1
n13,s11-1
n11,s6-1
n15,s12-1
n14,s7-1
n17,s31-1
n18,s27-1
n20,s19-1
n21,s20-1
n24,s32-1
n23,s28-1
n22,s21-1
n26,s29-1
n25,s22-1
n27,s23-1
n28,s24-1
n29,s33-1
n30,s30-1
n31,s25-1
n32,s26-1
n34,s41-1
n33,s34-1
n35,s35-1
n36,s36-1
n38,s45-1
n37,s42-1
n39,s37-1
n40,s38-1
n41,s46-1
n42,s39-1
n44,s47-1
n43,s43-1
n46,s40-1
n55,s58-1
n54,s48-1
n56,s59-1
n57,s60-1
n58,s61-1
n60,s62-1
n59,s50-1
n61,s63-1
n62,s64-1
n63,s65-1
n64,s66-1
n65,s67-1
n67,s68-1
n66,s53-1
n68,s54-1
n69,s55-1
n70,s69-1
n72,s70-1
n71,s56-1
n73,s71-1
n74,s72-1
n75,s57-1
n76,s73-1
n78,s84-1
n79,s74-1
n80,s85-1
n85,s86-1
n90,s87-1
n93,s75-1
n94,s76-1
n96,s88-1
n95,s77-1
n97,s89-1
n98,s90-1
n99,s91-1
n100,s92-1
n101,s93-1
n103,s94-1
n102,s79-1
n104,s80-1
n105,s81-1
n106,s95-1
n108,s96-1
n107,s82-1
n109,s97-1
n111,s98-1
n110,s83-1
n112,s99-1
n114,s111-1
n115,s100-1
n117,s112-1
n121,s113-1
n127,s114-1
n129,s101-1
n130,s102-1
n132,s115-1
n131,s103-1
n133,s116-1
n134,s117-1
n135,s118-1
n136,s119-1
n137,s120-1
n141,s121-1
n140,s107-1
n142,s108-1
n139,s106-1
n138,s105-1
n143,s122-1
n145,s123-1
n144,s109-1
n146,s124-1
n147,s125-1
n148,s110-1
n149,s126-1
n151,s135-1
n150,s127-1
n152,s136-1
n154,s137-1
n153,s128-1
n155,s138-1
n156,s139-1
n157,s140-1
n159,s141-1
n158,s130-1
n160,s142-1
n162,s143-1
n161,s131-1
n163,s144-1
n165,s145-1
n164,s132-1
n166,s146-1
n167,s147-1
n168,s148-1
n170,s149-1
n169,s134-1
n171,s150-1
n174,s179-1
n173,s168-1
n172,s158-1
n176,s169-1
n175,s159-1
n178,s170-1
n177,s160-1
n180,s171-1
n179,s161-1
n182,s172-1
n181,s162-1
n185,s173-1
n184,s163-1
n183,s153-1
n188,s174-1
n187,s164-1
n186,s154-1
n189,s155-1
n193,s176-1
n194,s166-1
n192,s156-1
n196,s177-1
n197,s167-1
n195,s157-1
n198,s195-1
n200,s196-1
n199,s197-1
n201,s198-1
n202,s199-1
n203,s200-1
n204,s201-1
n205,s202-1
n206,s203-1
n208,s204-1
n207,s184-1
n210,s205-1
n211,s206-1
n209,s185-1
n213,s207-1
n214,s208-1
n212,s186-1
n216,s209-1
n215,s187-1
n218,s210-1
n219,s211-1
n217,s188-1
n221,s212-1
n222,s213-1
n220,s189-1
n223,s214-1
n225,s215-1
n224,s190-1
n226,s216-1
n228,s217-1
n229,s218-1
n227,s192-1
n231,s219-1
n232,s220-1
n230,s193-1
n234,s221-1
n235,s222-1
n233,s194-1
n237,s239-1
n236,s223-1
n240,s240-1
n239,s241-1
n238,s224-1
n242,s242-1
n243,s243-1
n241,s225-1
n246,s244-1
n245,s245-1
n244,s226-1
n247,s246-1
n249,s247-1
n250,s248-1
n248,s228-1
n253,s249-1
n252,s250-1
n251,s229-1
n255,s251-1
n256,s252-1
n254,s230-1
n258,s253-1
n257,s231-1
n261,s254-1
n260,s255-1
n259,s232-1
n263,s256-1
n264,s257-1
n262,s233-1
n267,s258-1
n266,s259-1
n265,s234-1
n268,s260-1
n271,s261-1
n270,s262-1
n269,s236-1
n274,s263-1
n273,s264-1
n272,s237-1
n277,s265-1
n276,s266-1
n275,s238-1
n279,s286-1
n278,s267-1
n280,s287-1
n281,s288-1
n282,s268-1
n283,s289-1
n285,s290-1
n284,s269-1
n286a,s291-1
n286,s292-1
n287,s270-1
n288,s293-1
n290,s294-1
n289,s272-1
n291,s295-1
n292,s273-1
n293,s274-1
n295,s296-1
n294,s275-1
n296,s276-1
n298,s297-1
n297,s277-1
n300,s298-1
n299,s278-1
n302,s299-1
n301,s279-1
n303,s300-1
n304,s301-1
n306,s302-1
n305,s281-1
n308,s303-1
n307,s282-1
n309,s283-1
n311,s304-1
n310,s284-1
n312,s285-1
n314,s326-1
n313,s305-1
n316,s327-1
n315,s306-1
n318,s328-1
n317,s307-1
n319,s329-1
n320,s330-1
n322,s331-1
n321,s309-1
n324,s332-1
n323,s310-1
n325,s311-1
n327,s333-1
n326,s312-1
n328,s313-1
n330,s334-1
n329,s314-1
n332,s335-1
n331,s315-1
n333,s336-1
n334,s317-1
n336,s337-1
n335,s318-1
n337,s319-1
n339,s338-1
n338,s320-1
n340,s339-1
n341,s321-1
n342,s340-1
n343,s323-1
n345,s341-1
n344,s324-1
n346,s325-1
n347,s342-1
n350,s343-1
n351,s344-1
n352,s345-1
n353,s346-1
n354,s347-1
n355,s348-1
n356,s349-1
n357,s350-1
n358,s351-1
n359,s352-1
n360,s353-1
n361,s354-1
n363,s375-1
n364,s376-1
n362,s355-1
n365,s356-1
n366,s357-1
n367,s358-1
n368,s359-1
n369,s360-1
n370,s361-1
n371,s362-1
n373,s378-1
n372,s379-1
n374,s364-1
n375,s365-1
n376,s366-1
n378,s380-1
n377,s381-1
n379,s368-1
n380,s369-1
n381,s370-1
n384,s405-1
n383,s406-1
n382,s382-1
n385,s383-1
n386,s384-1
n387,s385-1
n388,s386-1
n389,s387-1
n390,s388-1
n391,s389-1
n393,s408-1
n392,s409-1
n394,s391-1
n395,s392-1
n396,s393-1
n397,s410-1
n398,s411-1
n399,s395-1
n400,s396-1
n401,s397-1
n402,s398-1
n405,s399-1
n406,s400-1
n407,s401-1
n409,s402-1
n418,s415-1
n417,s416-1
n416,s417-1
n425,s403-1
n426,s404-1
n428,s439-1
n429,s440-1
n427,s418-1
n431,s441-1
n430,s442-1
n433,s443-1
n432,s444-1
n434,s445-1
n435,s446-1
n436,s420-1
n437,s421-1
n438,s422-1
n439,s448-1
n440,s449-1
n442,s450-1
n441,s451-1
n444,s452-1
n443,s453-1
n445,s454-1
n447,s455-1
n446,s424-1
n448,s425-1
n449,s426-1
n450,s427-1
n451,s428-1
n452,s429-1
n453,s430-1
n454,s431-1
n455,s432-1
n456,s433-1
n457,s434-1
n458,s435-1
n459,s436-1
n460,s437-1
n461,s438-1
n466,s13-2
n465,s8-2
n464,s1-2
n467,s2-2
n470,s14-2
n469,s9-2
n468,s3-2
n471,s15-2
n472,s10-2
n473,s5-2
n475,s16-2
n476,s11-2
n474,s6-2
n478,s12-2
n477,s7-2
n480,s31-2
n481,s27-2
n483,s19-2
n484,s20-2
n487,s32-2
n486,s28-2
n485,s21-2
n489,s29-2
n488,s22-2
n490,s23-2
n491,s24-2
n492,s33-2
n493,s30-2
n494,s25-2
n495,s26-2
n497,s41-2
n496,s34-2
n498,s35-2
n499,s36-2
n501,s45-2
n500,s42-2
n502,s37-2
n503,s38-2
n504,s46-2
n505,s39-2
n507,s47-2
n506,s43-2
n509,s40-2
n518,s58-2
n517,s48-2
n519,s59-2
n520,s60-2
n521,s61-2
n523,s62-2
n522,s50-2
n524,s63-2
n525,s64-2
n526,s65-2
n527,s66-2
n528,s67-2
n530,s68-2
n529,s53-2
n531,s54-2
n532,s55-2
n533,s69-2
n535,s70-2
n534,s56-2
n536,s71-2
n537,s72-2
n538,s57-2
n539,s73-2
n541,s84-2
n542,s74-2
n543,s85-2
n548,s86-2
n553,s87-2
n556,s75-2
n557,s76-2
n559,s88-2
n558,s77-2
n560,s89-2
n561,s90-2
n562,s91-2
n563,s92-2
n564,s93-2
n566,s94-2
n565,s79-2
n567,s80-2
n568,s81-2
n569,s95-2
n571,s96-2
n570,s82-2
n572,s97-2
n574,s98-2
n573,s83-2
n575,s99-2
n577,s111-2
n578,s100-2
n580,s112-2
n584,s113-2
n590,s114-2
n592,s101-2
n593,s102-2
n595,s115-2
n594,s103-2
n596,s116-2
n597,s117-2
n598,s118-2
n599,s119-2
n600,s120-2
n604,s121-2
n603,s107-2
n605,s108-2
n602,s106-2
n601,s105-2
n606,s122-2
n608,s123-2
n607,s109-2
n609,s124-2
n610,s125-2
n611,s110-2
n612,s126-2
n614,s135-2
n613,s127-2
n615,s136-2
n617,s137-2
n616,s128-2
n618,s138-2
n619,s139-2
n620,s140-2
n622,s141-2
n621,s130-2
n623,s142-2
n625,s143-2
n624,s131-2
n626,s144-2
n628,s145-2
n627,s132-2
n629,s146-2
n630,s147-2
n631,s148-2
n633,s149-2
n632,s134-2
n634,s150-2
n637,s179-2
n636,s168-2
n635,s158-2
n639,s169-2
n638,s159-2
n641,s170-2
n640,s160-2
n643,s171-2
n642,s161-2
n645,s172-2
n644,s162-2
n648,s173-2
n647,s163-2
n646,s153-2
n651,s174-2
n650,s164-2
n649,s154-2
n652,s155-2
n656,s176-2
n657,s166-2
n655,s156-2
n659,s177-2
n660,s167-2
n658,s157-2
n661,s195-2
n663,s196-2
n662,s197-2
n664,s198-2
n665,s199-2
n666,s200-2
n667,s201-2
n668,s202-2
n669,s203-2
n671,s204-2
n670,s184-2
n673,s205-2
n674,s206-2
n672,s185-2
n676,s207-2
n677,s208-2
n675,s186-2
n679,s209-2
n678,s187-2
n681,s210-2
n682,s211-2
n680,s188-2
n684,s212-2
n685,s213-2
n683,s189-2
n686,s214-2
n688,s215-2
n687,s190-2
n689,s216-2
n691,s217-2
n692,s218-2
n690,s192-2
n694,s219-2
n695,s220-2
n693,s193-2
n697,s221-2
n698,s222-2
n696,s194-2
n700,s239-2
n699,s223-2
n703,s240-2
n702,s241-2
n701,s224-2
n705,s242-2
n706,s243-2
n704,s225-2
n709,s244-2
n708,s245-2
n707,s226-2
n710,s246-2
n712,s247-2
n713,s248-2
n711,s228-2
n716,s249-2
n715,s250-2
n714,s229-2
n718,s251-2
n719,s252-2
n717,s230-2
n721,s253-2
n720,s231-2
n724,s254-2
n723,s255-2
n722,s232-2
