id_m,id_s
n3,s11-1
n2,s1-1
n1,s2-1
n5,s3-1
n4,s4-1
n7,s5-1
n6,s6-1
n9,s7-1
n8,s8-1
n11,s9-1
n10,s10-1
n14,s19-1
n13,s13-1
n12,s14-1
n16,s20-1
n17,s15-1
n15,s16-1
n19,s21-1
n20,s17-1
n18,s18-1
n22,s29-1
n23,s30-1
n21,s22-1
n25,s31-1
n26,s32-1
n24,s23-1
n27,s24-1
n30,s27-1
n31,s28-1
n34,s52-1
n33,s34-1
n32,s35-1
n35,s53-1
n36,s54-1
n37,s55-1
n39,s56-1
n40,s36-1
n38,s37-1
n41,s39-1
n42,s40-1
n43,s41-1
n44,s42-1
n45,s43-1
n46,s44-1
n47,s45-1
n48,s46-1
n49,s47-1
n50,s48-1
n51,s49-1
n52,s50-1
n53,s51-1
n57,s71-1
n56,s72-1
n55,s70-1
n58,s59-1
n54,s58-1
n59,s60-1
n60,s61-1
n61,s62-1
n62,s63-1
n63,s64-1
n64,s65-1
n66,s74-1
n67,s75-1
n65,s66-1
n68,s67-1
n69,s68-1
n70,s69-1
n73,s84-1
n72,s85-1
n71,s76-1
n75,s86-1
n76,s87-1
n77,s77-1
n86,s78-1
n87,s79-1
n89,s80-1
n91,s81-1
n92,s82-1
n93,s83-1
n95,s101-1
n96,s102-1
n94,s90-1
n104,s105-1
n105,s103-1
n103,s97-1
n106,s104-1
n107,s100-1
n108,s98-1
n109,s99-1
n111,s114-1
n110,s106-1
n112,s115-1
n113,s116-1
n114,s117-1
n115,s118-1
n116,s119-1
n118,s120-1
n119,s108-1
n117,s109-1
n120,s121-1
n123,s122-1
n122,s110-1
n121,s111-1
n124,s123-1
n127,s124-1
n126,s112-1
n125,s113-1
n128,s125-1
n131,s135-1
n130,s134-1
n129,s126-1
n132,s136-1
n134,s137-1
n133,s127-1
n135,s138-1
n136,s139-1
n137,s140-1
n139,s141-1
n138,s128-1
n141,s142-1
n140,s129-1
n143,s143-1
n142,s130-1
n145,s144-1
n144,s131-1
n147,s145-1
n146,s132-1
n149,s146-1
n148,s133-1
n150,s158-1
n152,s148-1
n151,s147-1
n153,s159-1
n154,s160-1
n156,s161-1
n155,s149-1
n157,s150-1
n159,s162-1
n158,s151-1
n160,s163-1
n162,s164-1
n163,s152-1
n161,s153-1
n164,s165-1
n166,s166-1
n167,s154-1
n165,s155-1
n168,s167-1
n171,s168-1
n170,s156-1
n169,s157-1
n172,s169-1
n174,s179-1
n175,s178-1
n173,s170-1
n176,s180-1
n178,s181-1
n177,s171-1
n179,s182-1
n180,s183-1
n181,s184-1
n183,s185-1
n182,s172-1
n185,s186-1
n184,s173-1
n187,s187-1
n186,s174-1
n189,s188-1
n188,s175-1
n191,s189-1
n190,s176-1
n193,s190-1
n192,s177-1
n196,s206-1
n195,s207-1
n194,s191-1
n199,s194-1
n200,s195-1
n198,s193-1
n197,s192-1
n201,s196-1
n202,s197-1
n203,s198-1
n204,s199-1
n208,s209-1
n207,s210-1
n206,s200-1
n205,s201-1
n211,s211-1
n212,s212-1
n210,s202-1
n209,s203-1
n216,s213-1
n215,s214-1
n214,s204-1
n213,s205-1
n219,s220-1
n218,s218-1
n217,s215-1
n220,s216-1
n222,s219-1
n221,s217-1
n223,s222-1
n224,s223-1
n225,s224-1
n227,s233-1
n226,s225-1
n228,s226-1
n229,s234-1
n230,s235-1
n232,s236-1
n231,s227-1
n233,s228-1
n234,s229-1
n235,s230-1
n237,s238-1
n238,s237-1
n236,s231-1
n240,s239-1
n239,s232-1
n244,s249-1
n243,s250-1
n241,s240-1
n242,undefined
n246,undefined
n254,undefined
n249,s251-1
n248,s252-1
n247,s241-1
n250,s242-1
n251,s243-1
n252,s244-1
n253,s245-1
n257,s246-1
n258,s247-1
n259,s248-1
n260,s256-1
n261,s264-1
n262,s265-1
n264,s266-1
n263,s257-1
n265,s258-1
n266,s259-1
n267,s260-1
n269,s267-1
n268,s261-1
n273,s268-1
n272,s269-1
n271,s262-1
n270,s263-1
n276,s279-1
n275,s276-1
n274,s270-1
n280,s281-1
n279,s282-1
n278,s277-1
n277,s271-1
n281,s272-1
n282,s273-1
n283,s274-1
n287,s283-1
n286,s284-1
n285,s278-1
n284,s275-1
n288,s285-1
n289,s286-1
n290,s287-1
n291,s288-1
n292,s296-1
n293,s297-1
n295,s298-1
n294,s289-1
n296,s290-1
n297,s291-1
n298,s292-1
n300,s299-1
n299,s293-1
n302,s300-1
n301,s294-1
n303,s301-1
n305,s309-1
n304,s310-1
n307,s311-1
n306,s312-1
n310,s313-1
n311,s314-1
n309,s302-1
n312,s303-1
n315,s315-1
n314,s316-1
n313,s304-1
n316,s305-1
n319,s317-1
n318,s318-1
n317,s306-1
n320,s307-1
n323,s331-1
n322,s332-1
n321,s324-1
n324,s325-1
n325,s326-1
n328,s333-1
n327,s334-1
n326,s327-1
n329,s328-1
n330,s329-1
n332,s335-1
n333,s336-1
n331,s319-1
n335,s337-1
n334,s338-1
n339,s339-1
n336,s340-1
n338,s330-1
n337,s320-1
n340,s321-1
n341a,s341-1
n341,s342-1
n342,s322-1
n343,s323-1
n346,s351-1
n345,s352-1
n344,s343-1
n347,s353-1
n348,s354-1
n349,s355-1
n350,s356-1
n351,s357-1
n354,s358-1
n353,s345-1
n352,s346-1
n355,s359-1
n358,s360-1
n357,s347-1
n356,s348-1
n359,s361-1
n362,s362-1
n361,s349-1
n360,s350-1
n363,s363-1
n366,s377-1
n365,s373-1
n364,s364-1
n367,s378-1
n368,s379-1
n369,s366-1
n370,s380-1
n371,s367-1
n372,s368-1
n374,s381-1
n373,s369-1
n375,s382-1
n377,s383-1
n378,s374-1
n376,s370-1
n379,s384-1
n382,s385-1
n381,s375-1
n380,s371-1
n383,s386-1
n386,s387-1
n385,s376-1
n384,s372-1
n387,s388-1
n390,s402-1
n389,s401-1
n388,s389-1
n391,s403-1
n392,s404-1
n393,s391-1
n395,s405-1
n394,s392-1
n396,s393-1
n398,s406-1
n397,s394-1
n402,s407-1
n401,s408-1
n400,s395-1
n399,s396-1
n405,s409-1
n406,s410-1
n404,s397-1
n403,s398-1
n410,s411-1
n409,s412-1
n408,s399-1
n407,s400-1
n413,s425-1
n412,s426-1
n411,s413-1
n414,s415-1
n415,s416-1
n416,s417-1
n417,s418-1
n421,s430-1
n419,s427-1
n420,s419-1
n418,s420-1
n425,s431-1
n424,s428-1
n423,s421-1
n422,s422-1
n428,s429-1
n427,s423-1
n426,s424-1
n432,s452-1
n431,s443-1
n430,s432-1
n429,s441-1
n433,s442-1
