xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,cadence,cadence_type
1,1,0.0,0.75,0.0,1.5,0,72,77,1,n1-1,Bb.I{,2.0,2/2,,0
1,1,0.5,0.5,1.0,1.0,48,48,58,5,n6-1,,,,,0
1,1,0.75,0.25,1.5,0.5,72,24,74,1,n2-1,,,,,0
1,1,1.0,0.5,2.0,1.0,96,48,62,5,n7-1,I6,1.0,2/2,,0
1,1,1.0,0.5,2.0,1.0,96,48,70,1,n3-1,,,,,0
1,1,1.5,0.5,3.0,1.0,144,48,67,5,n8-1,vi,1.0,2/2,,0
1,1,1.5,0.5,3.0,1.0,144,48,70,1,n4-1,,,,,0
2,2,2.0,0.5,4.0,1.0,192,48,60,5,n13-1,ii,2.0,2/2,,0
2,2,2.0,0.5,4.0,1.0,192,48,75,1,n9-1,,,,,0
2,2,2.5,0.5,5.0,1.0,240,48,79,1,n10-1,,,,,0
2,2,2.5,0.5,5.0,1.0,240,48,63,5,n14-1,,,,,0
2,2,3.0,0.5,6.0,1.0,288,48,65,5,n15-1,V,1.0,2/2,,0
2,2,3.0,0.5,6.0,1.0,288,48,69,1,n11-1,,,,,0
2,2,3.5,0.5,7.0,1.0,336,48,63,5,n16-1,viio64,1.0,2/2,,0
3,3,4.0,0.5,8.0,1.0,384,48,62,5,n25-1,I6,1.0,2/2,,0
3,3,4.0,0.25,8.0,0.5,384,24,72,1,n17-1,,,,,0
3,3,4.25,0.25,8.5,0.5,408,24,70,1,n18-1,,,,,0
3,3,4.5,0.5,9.0,1.0,432,48,57,5,n26-1,V6,1.0,2/2,,0
3,3,4.5,0.25,9.0,0.5,432,24,74,1,n19-1,,,,,0
3,3,4.75,0.25,9.5,0.5,456,24,72,1,n20-1,,,,,0
3,3,5.0,0.25,10.0,0.5,480,24,75,1,n21-1,,,,,0
3,3,5.0,0.5,10.0,1.0,480,48,58,5,n27-1,I,1.0,2/2,,0
3,3,5.25,0.25,10.5,0.5,504,24,74,1,n22-1,,,,,0
3,3,5.5,0.5,11.0,1.0,528,48,51,5,n28-1,ii6,1.0,2/2,,0
3,3,5.5,0.5,11.0,1.0,528,48,60,5,n29-1,,,,,0
3,3,5.5,0.25,11.0,0.5,528,24,77,1,n23-1,,,,,0
3,3,5.75,0.25,11.5,0.5,552,24,75,1,n24-1,,,,,0
4,4,6.0,1.5,12.0,3.0,576,144,53,5,n37-1,V(64)},2.0,2/2,,0
4,4,6.0,1.0,12.0,2.0,576,96,58,5,n38-1,,,,,0
4,4,6.0,0.75,12.0,1.5,576,72,74,1,n30-1,,,,,0
4,4,6.75,0.125,13.5,0.25,648,12,75,1,n31-1,,,,,0
4,4,6.875,0.125,13.75,0.25,660,12,74,1,n32-1,,,,,0
4,4,7.0,0.25,14.0,0.5,672,24,72,1,n33-1,,,,,0
4,4,7.0,0.5,14.0,1.0,672,48,57,5,n40-1,V|HC,2.0,2/2,HC,2
4,4,7.25,0.25,14.5,0.5,696,24,74,1,n34-1,,,,,0
4,4,7.5,0.25,15.0,0.5,720,24,75,1,n35-1,,,,,0
4,4,7.75,0.25,15.5,0.5,744,24,76,1,n36-1,,,,,0
5,5,8.0,0.75,16.0,1.5,768,72,77,1,n42-1,I{,2.0,2/2,,0
5,5,8.5,0.5,17.0,1.0,816,48,58,5,n49-1,,,,,0
5,5,8.75,0.083333336,17.5,0.16666667,840,8,75,1,n43-1,,,,,0
5,5,8.833333,0.083333336,17.666666,0.16666667,848,8,74,1,n44-1,,,,,0
5,5,8.916667,0.083333336,17.833334,0.16666667,856,8,72,1,n45-1,,,,,0
5,5,9.0,0.5,18.0,1.0,864,48,62,5,n50-1,I6,1.0,2/2,,0
5,5,9.0,0.5,18.0,1.0,864,48,70,1,n46-1,,,,,0
5,5,9.5,0.5,19.0,1.0,912,48,70,1,n47-1,,,,,0
5,5,9.5,0.5,19.0,1.0,912,48,67,5,n51-1,vi,1.0,2/2,,0
6,6,10.0,0.5,20.0,1.0,960,48,60,5,n57-1,ii,2.0,2/2,,0
6,6,10.0,0.5,20.0,1.0,960,48,75,1,n52-1,,,,,0
6,6,10.5,0.5,21.0,1.0,1008,48,63,5,n58-1,,,,,0
6,6,10.5,0.5,21.0,1.0,1008,48,79,1,n53-1,,,,,0
6,6,11.0,0.5,22.0,1.0,1056,48,65,5,n59-1,V,1.0,2/2,,0
6,6,11.0,0.5,22.0,1.0,1056,48,69,1,n54-1,,,,,0
6,6,11.5,0.5,23.0,1.0,1104,48,63,5,n60-1,viio64,1.0,2/2,,0
6,6,11.75,0.25,23.5,0.5,1128,24,69,1,n56-1,,,,,0
7,7,12.0,0.5,24.0,1.0,1152,48,62,5,n67-1,I6,1.0,2/2,,0
7,7,12.0,0.25,24.0,0.5,1152,24,70,1,n61-1,,,,,0
7,7,12.25,0.25,24.5,0.5,1176,24,74,1,n62-1,,,,,0
